temperature,rate_3,rate_10,rate_5,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
31.63192,99.99894,99.96317,100.07588,7.44E-05,1.05721E-07,1.47902E-13,1.78727E-05,2.1641E-193,1.15233E-36,6.82527E-23,1.79785E-05,0.025730575,3.32898E-08,5.13704E-20,2.9996E-05,3.2106E-201,1.95981E-38,1.68647E-27,3.00293E-05,-0.006491155,2.15915E-08,2.84788E-17,3.35956E-06,4.3188E-201,1.7239E-53,3.6474E-34,3.38115E-06
32.58683,99.99902,99.9709,100.04476,0.000279008,1.14478E-07,1.67985E-13,1.85547E-05,8.4669E-193,1.46303E-36,7.82284E-23,1.86692E-05,0.018103235,3.6172E-08,6.21807E-20,3.10366E-05,1.2561E-200,2.48823E-38,1.97741E-27,3.10727E-05,-0.006299479,2.33799E-08,3.30846E-17,3.49593E-06,1.5342E-200,2.37E-53,4.41495E-34,3.51931E-06
33.54175,100.00064,99.9765,100.03758,-0.000104083,1.2396E-07,1.90794E-13,1.92627E-05,3.3126E-192,1.85752E-36,8.96622E-23,1.93867E-05,0.010391759,3.93038E-08,7.5266E-20,3.21132E-05,4.9146E-200,3.15915E-38,2.31855E-27,3.21526E-05,-0.005947712,2.53164E-08,3.84353E-17,3.63783E-06,5.4498E-200,3.25827E-53,5.34403E-34,3.66314E-06
34.49666,100.0006,99.98113,100.03165,-0.000530988,1.34227E-07,2.16701E-13,1.99977E-05,1.296E-191,2.35836E-36,1.02767E-22,2.01319E-05,0.003258976,4.27068E-08,9.11048E-20,3.32273E-05,1.9228E-199,4.01096E-38,2.71854E-27,3.327E-05,-0.005929749,2.74133E-08,4.46513E-17,3.78549E-06,1.9359E-199,4.47945E-53,6.46861E-34,3.8129E-06
35.45158,99.99498,99.97782,100.03084,0.000286553,1.45345E-07,2.46125E-13,2.07607E-05,5.0707E-191,2.99426E-36,1.17788E-22,2.09061E-05,-0.001729665,4.64044E-08,1.10277E-19,3.43799E-05,7.5229E-199,5.09246E-38,3.18753E-27,3.44263E-05,-0.005376061,2.96839E-08,5.18727E-17,3.93914E-06,6.877E-199,6.15834E-53,7.82987E-34,3.96882E-06
36.40649,99.99931,99.99157,100.04517,0.001528657,1.57383E-07,2.79544E-13,2.15529E-05,1.9839E-190,3.80161E-36,1.35003E-22,2.17103E-05,-0.004010909,5.04221E-08,1.33483E-19,3.55726E-05,2.9433E-198,6.46555E-38,3.73743E-27,3.5623E-05,-0.003729819,3.21425E-08,6.02619E-17,4.09903E-06,2.4429E-198,8.46644E-53,9.47757E-34,4.13117E-06
37.36141,99.99758,99.99625,100.0493,0.001944857,1.70419E-07,3.17502E-13,2.23753E-05,7.7619E-190,4.82667E-36,1.54735E-22,2.25457E-05,-0.003167997,5.47877E-08,1.61574E-19,3.68066E-05,1.1515E-197,8.20889E-38,4.3822E-27,3.68614E-05,-0.002698396,3.48048E-08,7.00079E-17,4.26541E-06,8.678E-198,1.16396E-52,1.1472E-33,4.30021E-06
38.31632,100.00253,99.99793,100.04621,0.001409324,1.84534E-07,3.60613E-13,2.3229E-05,3.0368E-189,6.12809E-36,1.77351E-22,2.34136E-05,-0.001571248,5.95313E-08,1.95575E-19,3.80834E-05,4.5054E-197,1.04223E-37,5.1382E-27,3.81429E-05,-0.002060685,3.76876E-08,8.13301E-17,4.43854E-06,3.0827E-197,1.60021E-52,1.38862E-33,4.47623E-06
39.27124,99.99177,100.00142,100.04835,0.001085644,1.99819E-07,4.09578E-13,2.41154E-05,1.1881E-188,7.78044E-36,2.03273E-22,2.43152E-05,-0.000499185,6.46856E-08,2.36731E-19,3.94045E-05,1.7627E-196,1.32325E-37,6.02464E-27,3.94692E-05,-0.000664218,4.08093E-08,9.44835E-17,4.6187E-06,1.0951E-196,2.19997E-52,1.68084E-33,4.65951E-06
40.22615,99.98793,99.99171,100.03829,0.001482679,2.1637E-07,4.65192E-13,2.50355E-05,4.6485E-188,9.8783E-36,2.32983E-22,2.52519E-05,0.002414206,7.02861E-08,2.86549E-19,4.07714E-05,6.8965E-196,1.68004E-37,7.06398E-27,4.08417E-05,0.00185953,4.41894E-08,1.09764E-16,4.80617E-06,3.8899E-196,3.0245E-52,2.03455E-33,4.85036E-06
41.18107,99.98837,99.99222,100.04335,0.001343924,2.34291E-07,5.28357E-13,2.59908E-05,1.8187E-187,1.25418E-35,2.67035E-22,2.62251E-05,0.002433034,7.63716E-08,3.4685E-19,4.21858E-05,2.6982E-195,2.13304E-37,8.28264E-27,4.22622E-05,0.003307314,4.78495E-08,1.27516E-16,5.00125E-06,1.3818E-195,4.15807E-52,2.4627E-33,5.0491E-06
