T;DTG;Synthesis;Sublimation;Destruction;Undefined;Cumulative
30.677;0;-1.07E-11;-8.72E-141;-1.68E-89;-1.80E-267;-1.07E-11
31.63192;0;-1.27E-11;-9.46E-140;-5.58E-89;-3.93E-266;-1.27E-11
32.58683;0;-1.52E-11;-1.02E-138;-1.84E-88;-8.51E-265;-1.52E-11
33.54175;0;-1.81E-11;-1.08E-137;-6.07E-88;-1.83E-263;-1.81E-11
34.49666;0;-2.15E-11;-1.14E-136;-1.99E-87;-3.91E-262;-2.15E-11
35.45158;0;-2.55E-11;-1.20E-135;-6.51E-87;-8.28E-261;-2.55E-11
36.40649;0;-3.03E-11;-1.24E-134;-2.12E-86;-1.74E-259;-3.03E-11
37.36141;0;-3.60E-11;-1.27E-133;-6.88E-86;-3.63E-258;-3.60E-11
38.31632;0;-4.27E-11;-1.30E-132;-2.23E-85;-7.51E-257;-4.27E-11
39.27124;0;-5.06E-11;-1.31E-131;-7.18E-85;-1.54E-255;-5.06E-11
40.22615;0;-6.00E-11;-1.31E-130;-2.31E-84;-3.14E-254;-6.00E-11
41.18107;0;-7.10E-11;-1.30E-129;-7.38E-84;-6.34E-253;-7.10E-11
42.13598;0;-8.40E-11;-1.28E-128;-2.35E-83;-1.27E-251;-8.40E-11
43.0909;0;-9.94E-11;-1.24E-127;-7.48E-83;-2.53E-250;-9.94E-11
44.04581;0;-1.17E-10;-1.20E-126;-2.37E-82;-5.00E-249;-1.17E-10
45.00073;0;-1.39E-10;-1.15E-125;-7.47E-82;-9.79E-248;-1.39E-10
45.95564;0;-1.64E-10;-1.09E-124;-2.35E-81;-1.90E-246;-1.64E-10
46.91056;0;-1.93E-10;-1.02E-123;-7.35E-81;-3.67E-245;-1.93E-10
47.86547;0;-2.27E-10;-9.53E-123;-2.30E-80;-7.02E-244;-2.27E-10
48.82039;0;-2.68E-10;-8.80E-122;-7.14E-80;-1.33E-242;-2.68E-10
49.7753;0;-3.15E-10;-8.05E-121;-2.21E-79;-2.51E-241;-3.15E-10
50.73022;0;-3.70E-10;-7.30E-120;-6.83E-79;-4.69E-240;-3.70E-10
51.68513;0;-4.35E-10;-6.56E-119;-2.10E-78;-8.70E-239;-4.35E-10
52.64005;0;-5.11E-10;-5.85E-118;-6.45E-78;-1.60E-237;-5.11E-10
53.59496;0;-6.00E-10;-5.16E-117;-1.97E-77;-2.92E-236;-6.00E-10
54.54988;0;-7.03E-10;-4.52E-116;-6.00E-77;-5.30E-235;-7.03E-10
55.50479;0;-8.24E-10;-3.92E-115;-1.82E-76;-9.52E-234;-8.24E-10
56.45971;0;-9.65E-10;-3.37E-114;-5.50E-76;-1.70E-232;-9.65E-10
57.41462;0;-1.13E-09;-2.87E-113;-1.66E-75;-3.01E-231;-1.13E-09
58.36954;0;-1.32E-09;-2.42E-112;-4.97E-75;-5.28E-230;-1.32E-09
59.32445;0;-1.54E-09;-2.03E-111;-1.49E-74;-9.20E-229;-1.54E-09
60.27937;0;-1.80E-09;-1.68E-110;-4.43E-74;-1.59E-227;-1.80E-09
61.23428;0;-2.11E-09;-1.38E-109;-1.31E-73;-2.73E-226;-2.11E-09
62.1892;0;-2.46E-09;-1.13E-108;-3.89E-73;-4.64E-225;-2.46E-09
63.14411;0;-2.86E-09;-9.09E-108;-1.15E-72;-7.84E-224;-2.86E-09
64.09903;0;-3.33E-09;-7.27E-107;-3.37E-72;-1.31E-222;-3.33E-09
65.05394;0;-3.88E-09;-5.77E-106;-9.86E-72;-2.18E-221;-3.88E-09
66.00886;0;-4.51E-09;-4.53E-105;-2.88E-71;-3.60E-220;-4.51E-09
66.96377;0;-5.25E-09;-3.53E-104;-8.36E-71;-5.90E-219;-5.25E-09
67.91869;0;-6.10E-09;-2.73E-103;-2.42E-70;-9.58E-218;-6.10E-09
68.8736;0;-7.08E-09;-2.09E-102;-6.99E-70;-1.54E-216;-7.08E-09
69.82852;0;-8.21E-09;-1.58E-101;-2.01E-69;-2.47E-215;-8.21E-09
70.78343;0;-9.52E-09;-1.19E-100;-5.75E-69;-3.92E-214;-9.52E-09
71.73835;0;-1.10E-08;-8.86E-100;-1.64E-68;-6.17E-213;-1.10E-08
72.69326;0;-1.28E-08;-6.54E-99;-4.67E-68;-9.63E-212;-1.28E-08
73.64818;0;-1.48E-08;-4.79E-98;-1.32E-67;-1.49E-210;-1.48E-08
74.60309;0;-1.71E-08;-3.47E-97;-3.74E-67;-2.30E-209;-1.71E-08
75.55801;0;-1.97E-08;-2.50E-96;-1.05E-66;-3.50E-208;-1.97E-08
76.51292;0;-2.28E-08;-1.78E-95;-2.95E-66;-5.30E-207;-2.28E-08
77.46784;0;-2.63E-08;-1.26E-94;-8.25E-66;-7.96E-206;-2.63E-08
78.42275;0;-3.03E-08;-8.79E-94;-2.30E-65;-1.19E-204;-3.03E-08
79.37767;-4.26E-05;-3.49E-08;-6.10E-93;-6.38E-65;-1.76E-203;-3.49E-08
80.33258;-2.12E-04;-4.02E-08;-4.19E-92;-1.76E-64;-2.58E-202;-4.02E-08
81.2875;-8.98E-04;-4.63E-08;-2.86E-91;-4.86E-64;-3.75E-201;-4.63E-08
82.24241;-0.001302898;-5.32E-08;-1.93E-90;-1.33E-63;-5.42E-200;-5.32E-08
83.19733;-4.21E-04;-6.11E-08;-1.29E-89;-3.65E-63;-7.77E-199;-6.11E-08
84.15224;1.01E-04;-7.02E-08;-8.57E-89;-9.94E-63;-1.10E-197;-7.02E-08
85.10716;-4.22E-04;-8.05E-08;-5.63E-88;-2.70E-62;-1.56E-196;-8.05E-08
86.06207;-8.41E-04;-9.24E-08;-3.67E-87;-7.30E-62;-2.18E-195;-9.24E-08
87.01699;-8.02E-04;-1.06E-07;-2.37E-86;-1.97E-61;-3.03E-194;-1.06E-07
87.9719;-5.79E-04;-1.21E-07;-1.52E-85;-5.29E-61;-4.18E-193;-1.21E-07
88.92682;-1.05E-04;-1.39E-07;-9.62E-85;-1.42E-60;-5.72E-192;-1.39E-07
89.88173;1.97E-04;-1.59E-07;-6.05E-84;-3.78E-60;-7.76E-191;-1.59E-07
90.83665;1.00E-04;-1.81E-07;-3.77E-83;-1.00E-59;-1.05E-189;-1.81E-07
91.79156;5.61E-04;-2.07E-07;-2.33E-82;-2.66E-59;-1.40E-188;-2.07E-07
92.74648;0.001026032;-2.36E-07;-1.43E-81;-7.02E-59;-1.85E-187;-2.36E-07
93.70139;7.65E-04;-2.70E-07;-8.64E-81;-1.85E-58;-2.44E-186;-2.70E-07
94.65631;9.52E-05;-3.07E-07;-5.20E-80;-4.84E-58;-3.18E-185;-3.07E-07
95.61122;-3.14E-04;-3.50E-07;-3.10E-79;-1.26E-57;-4.12E-184;-3.50E-07
96.56614;-0.001305404;-3.98E-07;-1.83E-78;-3.29E-57;-5.29E-183;-3.98E-07
97.52105;-0.001256545;-4.53E-07;-1.07E-77;-8.52E-57;-6.74E-182;-4.53E-07
98.47597;-1.05E-04;-5.15E-07;-6.21E-77;-2.20E-56;-8.53E-181;-5.15E-07
99.43088;-5.14E-05;-5.85E-07;-3.57E-76;-5.67E-56;-1.07E-179;-5.85E-07
100.3858;-2.10E-04;-6.64E-07;-2.04E-75;-1.45E-55;-1.33E-178;-6.64E-07
101.34071;-3.67E-04;-7.53E-07;-1.15E-74;-3.72E-55;-1.65E-177;-7.53E-07
102.29563;-4.17E-04;-8.54E-07;-6.44E-74;-9.46E-55;-2.02E-176;-8.54E-07
103.25054;-5.10E-04;-9.68E-07;-3.57E-73;-2.40E-54;-2.46E-175;-9.68E-07
104.20546;-7.87E-04;-1.10E-06;-1.96E-72;-6.07E-54;-2.97E-174;-1.10E-06
105.16037;-9.56E-04;-1.24E-06;-1.07E-71;-1.53E-53;-3.56E-173;-1.24E-06
106.11529;-4.70E-04;-1.40E-06;-5.78E-71;-3.84E-53;-4.23E-172;-1.40E-06
107.0702;1.04E-04;-1.58E-06;-3.09E-70;-9.61E-53;-4.98E-171;-1.58E-06
108.02512;-1.58E-04;-1.79E-06;-1.64E-69;-2.40E-52;-5.83E-170;-1.79E-06
108.98003;-4.70E-04;-2.02E-06;-8.63E-69;-5.95E-52;-6.77E-169;-2.02E-06
109.93495;-3.18E-04;-2.27E-06;-4.50E-68;-1.47E-51;-7.80E-168;-2.27E-06
110.88986;-3.14E-04;-2.56E-06;-2.32E-67;-3.63E-51;-8.91E-167;-2.56E-06
111.84478;-2.58E-04;-2.88E-06;-1.19E-66;-8.93E-51;-1.01E-165;-2.88E-06
112.79969;-5.39E-05;-3.25E-06;-6.04E-66;-2.19E-50;-1.14E-164;-3.25E-06
113.75461;-1.04E-04;-3.65E-06;-3.04E-65;-5.33E-50;-1.27E-163;-3.65E-06
114.70952;-1.53E-04;-4.10E-06;-1.51E-64;-1.30E-49;-1.41E-162;-4.10E-06
115.66444;3.76E-04;-4.60E-06;-7.47E-64;-3.14E-49;-1.55E-161;-4.60E-06
116.61935;5.20E-04;-5.17E-06;-3.66E-63;-7.58E-49;-1.69E-160;-5.17E-06
117.57427;-1.06E-04;-5.79E-06;-1.78E-62;-1.82E-48;-1.83E-159;-5.79E-06
118.52918;-6.03E-04;-6.49E-06;-8.54E-62;-4.37E-48;-1.96E-158;-6.49E-06
119.4841;-6.36E-04;-7.27E-06;-4.07E-61;-1.04E-47;-2.09E-157;-7.27E-06
120.43901;-2.87E-04;-8.14E-06;-1.92E-60;-2.49E-47;-2.21E-156;-8.14E-06
121.39393;-5.14E-05;-9.10E-06;-9.00E-60;-5.89E-47;-2.32E-155;-9.10E-06
122.34884;5.14E-05;-1.02E-05;-4.18E-59;-1.39E-46;-2.41E-154;-1.02E-05
123.30376;1.57E-04;-1.14E-05;-1.92E-58;-3.28E-46;-2.49E-153;-1.14E-05
124.25867;1.58E-04;-1.27E-05;-8.76E-58;-7.69E-46;-2.55E-152;-1.27E-05
125.21359;1.05E-04;-1.41E-05;-3.96E-57;-1.80E-45;-2.59E-151;-1.41E-05
126.1685;5.26E-05;-1.58E-05;-1.77E-56;-4.19E-45;-2.62E-150;-1.58E-05
127.12342;5.26E-05;-1.75E-05;-7.86E-56;-9.72E-45;-2.62E-149;-1.75E-05
128.07833;-4.79E-04;-1.95E-05;-3.46E-55;-2.25E-44;-2.60E-148;-1.95E-05
129.03325;-9.42E-04;-2.17E-05;-1.51E-54;-5.18E-44;-2.56E-147;-2.17E-05
129.98816;-7.27E-04;-2.41E-05;-6.51E-54;-1.19E-43;-2.50E-146;-2.41E-05
130.94308;-6.34E-04;-2.68E-05;-2.79E-53;-2.72E-43;-2.43E-145;-2.68E-05
131.89799;-3.66E-04;-2.98E-05;-1.18E-52;-6.21E-43;-2.34E-144;-2.98E-05
132.85291;-4.76E-05;-3.30E-05;-4.97E-52;-1.41E-42;-2.23E-143;-3.30E-05
133.80782;0;-3.66E-05;-2.07E-51;-3.19E-42;-2.12E-142;-3.66E-05
134.76274;-1.05E-04;-4.06E-05;-8.57E-51;-7.20E-42;-1.99E-141;-4.06E-05
135.71765;-8.29E-04;-4.49E-05;-3.51E-50;-1.62E-41;-1.86E-140;-4.49E-05
136.67257;-0.001629876;-4.97E-05;-1.42E-49;-3.63E-41;-1.72E-139;-4.97E-05
137.62748;-0.001265315;-5.49E-05;-5.73E-49;-8.09E-41;-1.58E-138;-5.49E-05
138.5824;-3.60E-04;-6.07E-05;-2.28E-48;-1.80E-40;-1.44E-137;-6.07E-05
139.53731;4.70E-04;-6.70E-05;-9.02E-48;-3.99E-40;-1.30E-136;-6.70E-05
140.49223;8.89E-04;-7.39E-05;-3.53E-47;-8.81E-40;-1.17E-135;-7.39E-05
141.44714;2.15E-04;-8.15E-05;-1.37E-46;-1.94E-39;-1.04E-134;-8.15E-05
142.40206;-5.78E-04;-8.98E-05;-5.27E-46;-4.25E-39;-9.19E-134;-8.98E-05
143.35697;-2.67E-04;-9.88E-05;-2.01E-45;-9.28E-39;-8.05E-133;-9.88E-05
144.31189;5.39E-05;-1.09E-04;-7.60E-45;-2.02E-38;-7.00E-132;-1.09E-04
145.2668;-1.04E-04;-1.20E-04;-2.84E-44;-4.38E-38;-6.04E-131;-1.20E-04
146.22172;-7.85E-04;-1.31E-04;-1.06E-43;-9.47E-38;-5.17E-130;-1.31E-04
147.17663;-0.001099947;-1.44E-04;-3.88E-43;-2.04E-37;-4.39E-129;-1.44E-04
148.13155;-5.74E-04;-1.58E-04;-1.42E-42;-4.37E-37;-3.70E-128;-1.58E-04
149.08646;-8.11E-04;-1.74E-04;-5.12E-42;-9.35E-37;-3.10E-127;-1.74E-04
150.04138;-0.001098694;-1.90E-04;-1.83E-41;-1.99E-36;-2.57E-126;-1.90E-04
150.99629;-8.13E-04;-2.08E-04;-6.50E-41;-4.23E-36;-2.12E-125;-2.08E-04
151.95121;-6.31E-04;-2.28E-04;-2.29E-40;-8.95E-36;-1.73E-124;-2.28E-04
152.90612;-9.90E-04;-2.49E-04;-7.98E-40;-1.89E-35;-1.40E-123;-2.49E-04
153.86104;-0.001099947;-2.72E-04;-2.76E-39;-3.96E-35;-1.13E-122;-2.72E-04
154.81595;-8.42E-04;-2.97E-04;-9.44E-39;-8.29E-35;-9.00E-122;-2.97E-04
155.77087;-7.82E-04;-3.25E-04;-3.20E-38;-1.73E-34;-7.13E-121;-3.25E-04
156.72578;-6.82E-04;-3.54E-04;-1.08E-37;-3.59E-34;-5.60E-120;-3.54E-04
157.6807;-8.41E-04;-3.86E-04;-3.59E-37;-7.44E-34;-4.37E-119;-3.86E-04
158.63561;-0.001097441;-4.20E-04;-1.19E-36;-1.53E-33;-3.38E-118;-4.20E-04
159.59053;-0.001151311;-4.57E-04;-3.89E-36;-3.16E-33;-2.59E-117;-4.57E-04
160.54544;-1.00E-03;-4.97E-04;-1.26E-35;-6.46E-33;-1.98E-116;-4.97E-04
161.50036;-8.84E-04;-5.41E-04;-4.06E-35;-1.32E-32;-1.49E-115;-5.41E-04
162.45527;-9.41E-04;-5.87E-04;-1.30E-34;-2.68E-32;-1.12E-114;-5.87E-04
163.41019;-0.001104958;-6.38E-04;-4.09E-34;-5.44E-32;-8.33E-114;-6.38E-04
164.3651;-0.001203928;-6.92E-04;-1.28E-33;-1.10E-31;-6.15E-113;-6.92E-04
165.32002;-0.001176367;-7.50E-04;-3.98E-33;-2.21E-31;-4.50E-112;-7.50E-04
166.27493;-0.001215203;-8.12E-04;-1.22E-32;-4.43E-31;-3.27E-111;-8.12E-04
167.22985;-0.001388088;-8.79E-04;-3.73E-32;-8.86E-31;-2.36E-110;-8.79E-04
168.18476;-0.001503344;-9.51E-04;-1.13E-31;-1.76E-30;-1.69E-109;-9.51E-04
169.13968;-0.001623612;-0.00102787;-3.38E-31;-3.50E-30;-1.20E-108;-0.00102787
170.09459;-0.001051088;-0.001110406;-1.00E-30;-6.91E-30;-8.44E-108;-0.001110406
171.04951;-2.68E-04;-0.001198756;-2.95E-30;-1.36E-29;-5.90E-107;-0.001198756
172.00442;-4.21E-04;-0.001293257;-8.61E-30;-2.67E-29;-4.09E-106;-0.001293257
172.95934;-0.001617348;-0.001394263;-2.49E-29;-5.23E-29;-2.81E-105;-0.001394263
173.91425;-0.002143518;-0.001502137;-7.13E-29;-1.02E-28;-1.92E-104;-0.001502137
174.86917;-0.001751396;-0.00161726;-2.02E-28;-1.98E-28;-1.30E-103;-0.00161726
