Model,Equation,R2_score,Ea,A
D3,(1 - (1 - a)**(1/3))**2,0.9993111191334573,1280737.9173541055,322800566.99570566
R3,1 - (1 - a)**(1/3),0.9993016571616966,634736.8281127946,74876264.33605388
G8,(1 - (1 - a)**(1/3))**(1/2),0.9992820100466919,311736.28349213896,15813182.376501022
R2,1 - (1 - a)**(1/2),0.9992504034178512,616678.6759613605,70636814.08999401
G7,(1 - (1 - a)**(1/2))**(1/2),0.9992226398843715,302707.20741642197,14834860.024968978
D4,1 - (2*a/3) - (1 - a)**(2/3),0.998922181069585,1231343.916216206,297182506.3882656
F3/4,1 - (1 - a)**(1/4),0.9988812011068369,644399.959798496,77139568.99689561
F1/3,1 - (1 - a)**(2/3),0.9982743948302966,600186.6662287437,66811665.478903934
D2,a + (1 - a)*np.log(1 - a),0.9979760608727691,1207756.0396589562,287525725.7515956
G6,(-np.log(1 - a))**4,0.9954197716777888,2738143.271290072,1536380104.459512
G5,(-np.log(1 - a))**3,0.9954085477934226,2050791.388185424,854902360.5349685
G4,(-np.log(1 - a))**2,0.9953859663495125,1363439.5050807777,371683731.74401677
A2/3,(-np.log(1 - a))**(3/2),0.9953632050699195,1019763.5635284539,204421449.33948815
A3/4,(-np.log(1 - a))**(4/3),0.9953517563848325,905204.9163443461,159681689.2854783
F1/A1,-np.log(1 - a),0.9953171351955034,676087.6219761308,86723557.01744324
A3/2,(-np.log(1 - a))**(2/3),0.9952466321094259,446970.32760791475,35793551.24606233
A2,(-np.log(1 - a))**(1/2),0.9951744016156061,332411.68042380706,18588635.78902535
A5/2,(-np.log(1 - a))**(2/5),0.9951003859045936,263676.49211334233,10908539.128807066
A3,(-np.log(1 - a))**(1/3),0.9950245247140813,217853.0332396992,6889383.653878127
A4,(-np.log(1 - a))**(1/4),0.9948670118159172,160573.7096476452,3103273.3966589253
D1,a**2,0.9946609558563912,1153744.8030571374,262135194.9277446
P3/2,a**(3/2),0.994623831595869,862492.5370107237,143511171.98174962
F0/R1/P1,a,0.9945484634393496,571240.2709643106,60283916.64251666
P2,a**(1/2),0.994313038474294,279988.00491789693,12451707.228724467
P3,a**(1/3),0.9940627302651069,182903.91623575924,4371222.400915788
P4,a**(1/4),0.9937962767392864,134361.8718946903,1803751.1067263414
D7,1 + (2*a/3) - (1 + a)**(2/3),0.9927031643601884,1118342.2428860422,242508688.2631418
D6,((1 + a)**(1/3) - 1)**2,0.9915792849818531,1101448.1109198157,234803304.37629378
D8,((1 + a)**(-1/3) - 1)**2,0.9874717834618862,1052317.0727157532,213097457.47537196
D5,((1 - a)**(-1/3) - 1)**2,0.9840939283664313,1460784.2845397913,425093322.2604776
G1,1 - (1 - a)**2,0.9781852878084764,506666.5097181216,46789310.2542149
F3/2,(1 - a)**(-1/2) - 1,0.9749928809241857,751713.4513506253,108101545.8095954
G2,1 - (1 - a)**3,0.9609440372120336,461377.15646194905,38286971.15201499
G3,1 - (1 - a)**4,0.9447235439351114,426667.4064928674,32327612.792305317
F2,(1 - a)**(-1) - 1,0.9380791034069883,841309.8217428408,138014831.6856173
F3,(1 - a)**(-2) - 1,0.849316200220743,1046805.6112751827,219146607.39574972
B1,np.log(a / (1 - a)),0.7225014885280756,2199899.9175308333,981729540.2158135
