temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
31.63192,7.906319679250286e-09,4.6321569423146036e-15,3.3869917938131336e-18,6.429117897555371e-07,3.6825990549408326e-193,7.075081469237734e-37,2.730817441019356e-23,2.444672095756347e-09,6.354474044539973e-33,1.3493200694387184e-18,1.1316442852934956e-06,5.01765492833285e-201,1.2985970305075225e-38,6.886964948816467e-28,1.5802316055620831e-09,9.088965836615498e-19,1.568675258515149e-17,4.163862254976147e-08,5.327659483533159e-201,1.0202267842414888e-53,1.7906181336028818e-34
32.58683,1.6409342730519464e-08,9.946947539286095e-15,7.360193705786234e-18,1.3109653813450896e-06,1.812316108982456e-192,1.6057358812791727e-36,5.857463471586174e-23,5.102243563215199e-09,1.5069181305623367e-32,2.9214636365829133e-18,2.301010046763441e-06,2.4713122871321608e-200,2.9483452988563643e-38,1.4955716782341083e-27,3.29214917825434e-09,1.9733923107216805e-18,3.3669127499837344e-17,8.513611217763729e-08,2.4196453487713098e-200,2.4260043881091215e-53,3.954077303243624e-34
33.54175,2.565824499681225e-08,1.6041890884436892e-14,1.2023820868036625e-17,2.0041607747686574e-06,7.455558179285306e-192,2.7500534058689283e-36,9.443910389001054e-23,7.987397117666382e-09,2.705190378961303e-32,4.765947034256023e-18,3.5118694320274814e-06,1.0146292255392068e-199,5.042001735797064e-38,2.441001186000629e-27,5.143068605139558e-09,3.2231251132563117e-18,5.432972846564663e-17,1.3049246888362748e-07,9.140882428691617e-200,4.359690037311013e-53,6.573776161720169e-34
34.49666,3.565302647812865e-08,2.30145060712894e-14,1.7495115304196304e-17,2.722497970026241e-06,2.9619348787725505e-191,4.201983168251629e-36,1.356212702772717e-22,1.1122156832044642e-08,4.352166304791051e-32,6.932286595281488e-18,4.764222441085616e-06,4.0158433882803504e-199,7.698825252294597e-38,3.549435781313102e-27,7.147621660343312e-09,4.687732923341364e-18,7.805115920416839e-17,1.7807946608335483e-07,3.3066019924187746e-199,7.017024917195821e-53,9.747830771147742e-34
35.45158,4.6468275095971025e-08,3.101107174012724e-14,2.3904345929411924e-17,3.4695686530941277e-06,1.1605813216064227e-190,6.041504350253439e-36,1.8280083953646408e-22,1.4528546779284716e-08,6.616433994947539e-32,9.469998652482748e-18,6.061841221555491e-06,1.5770598859016498e-198,1.107120223458199e-37,4.849401354492068e-27,9.320440117991176e-09,6.404263156071737e-18,1.052160234369917e-16,2.2752533036119658e-07,1.179139302174936e-198,1.067086037703743e-52,1.3589074602958856e-33
36.40649,5.8178578771841726e-08,4.0177866531234034e-14,3.142086233337415e-17,4.245372823972318e-06,4.536297121968853e-190,8.37935735747982e-36,2.3677746538384517e-22,1.822859103232135e-08,9.728829445334465e-32,1.245335770509496e-17,7.404725773437105e-06,6.172669072599027e-198,1.5357897534267537e-37,6.3734989230467186e-27,1.166883986514594e-08,8.417172709561311e-18,1.3633445945956865e-16,2.7920183513277554e-07,4.188280306763109e-198,1.5694884134319646e-52,1.8239775947220588e-33
37.36141,7.085852542724312e-08,5.0685548858274004e-14,4.024006788880296e-17,5.0499104826608105e-06,1.776637520823777e-189,1.135089157455967e-35,2.987506283938013e-22,2.2251655021734196e-08,1.400837318961649e-31,1.5944259169147422e-17,8.792876096730459e-06,2.4148691401517335e-197,2.079742897328119e-37,8.158404631674893e-27,1.421476856299596e-08,1.0778327964942947e-17,1.720441401412143e-16,3.331089803980918e-07,1.489292945423251e-197,2.2575483376878523e-52,2.3881449518846108e-33
38.31632,8.465729090517994e-08,6.272915690829197e-14,5.0570392859933015e-17,5.8831816291596064e-06,6.959554709259023e-189,1.5122217609901173e-35,3.695199822825899e-22,2.6619762820458e-08,1.9895987916598427e-31,2.0041735710287016e-17,1.0230064339053198e-05,9.464596157840566e-197,2.768794382903539e-37,1.0253020006640374e-26,1.697285798566682e-08,1.354453495869549e-17,2.1285520377738082e-16,3.896185395727681e-07,5.287716836460781e-197,3.2065965090752833e-52,3.0700515835854346e-33
39.27124,9.957487520565219e-08,7.652810864171337e-14,6.26854019685723e-17,6.748777949444994e-06,2.72479476508312e-188,1.9908664029959395e-35,4.50684834482726e-22,3.136962121671733e-08,2.798821608760443e-31,2.484481999416062e-17,1.1716290500405321e-05,3.6975725982967715e-196,3.643359729980034e-37,1.270624657420695e-26,1.9957739907284087e-08,1.6780009210316766e-17,2.596603923851092e-16,4.4835873924118157e-07,1.8853516447309104e-196,4.5115377447330016e-52,3.894226505353336e-33
40.22615,1.1568586625016219e-07,9.235058156572483e-14,7.688471371955813e-17,7.646699443516974e-06,1.0652612175025192e-187,2.598708184874799e-35,5.438444924267245e-22,3.653059564109184e-08,3.9115029822737696e-31,3.047730285282683e-17,1.3255326728404476e-05,1.4483185995647755e-195,4.756442898986481e-37,1.5583286369393e-26,2.3191361989036127e-08,2.0583543826726513e-17,3.1335244798144073e-16,5.10073126234578e-07,6.682711688930908e-196,6.3028661682267785e-52,4.890104535822884e-33
