Model,Equation,R2_score,Ea,A
SB,(a**-1.0)*((1 - a)**-0.0415)*(-np.log(1 - a))**-0.515,0.9875857136684635,191418.56521159614,1.6301760064946675e+17
D2,1 / (-np.log(1 - a)),0.9835729485451535,154451.72257953166,64135682933874.28
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.9794561630908923,158109.1133572587,39145693405738.44
D1,1 / (2*a),0.9791733209568112,145134.21264445913,9755810719253.266
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.9786557914841924,140692.09658405144,312524538648.75903
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.9780039232658321,138530.7418198041,170598765539.13486
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9758463348156909,160139.52963767672,617075612637693.2
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.9741302837959395,132046.6775270578,27749244839.54487
P3/2,(2/3)/a**(1/2),0.9662345557851005,104747.54893701167,1041008830.4565694
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9657716673435425,164835.42990250926,1130964452063393.5
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9657716673435425,164835.42990250926,251325433791865.12
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.9609855815615982,-179533.38554352417,2.0757483912598597e-18
F1/3,(3/2)*(1 - a)**(1/3),0.9570302540080381,72637.02468508056,645506.0632045042
R2,2*(1 - a)**(1/2),0.9443605118277607,76000.18295770601,1226698.4444881566
R3,3*(1 - a)**(2/3),0.9253025724095383,79363.34123033161,2072157.589197129
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9248585048031863,-90992.37110382192,6.620587999664004e-10
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9202929452842651,130360.16499543379,1234576595559.5188
F0/R1/P1,"np.full_like(a, 1)",0.9166091896096312,64360.88522956414,98739.95816665993
F3/4,4*(1 - a)**(3/4),0.9141527476271035,81044.92036664432,2473843.129198011
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9105788694220096,115603.32925548342,40018003600.195114
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.899308456118339,185014.37953826296,6.6511048207523784e+16
F1/A1,(1 - a),0.8770480458675742,86089.65777558261,39911356.24490829
F3/2,2*(1 - a)**(3/2),0.7994653846912755,96179.1325934592,324634869.4060311
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.7948229694436062,56575.98629568189,35382.216091698174
F2,(1 - a)**2,0.7296477688393976,106268.60741133572,10562186640.57182
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.7019227873180985,41819.150555731496,967.6898722023493
F3,(1 - a)**3,0.623369560802046,126447.55704708892,2795189067134.4863
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.6082922843266637,32965.04911176126,106.15980786680134
P2,2*a**(1/2),0.572990977244046,23974.221522116655,7.024133023788469
G1,1 / (2*(1 - a)),0.5458305724325924,45731.75850407639,1139.7557153019438
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.5206718058587876,27062.314815781112,23.52528202520023
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.37502843241801315,19683.896945805925,3.3693106353170013
E1,a,0.33370467649728985,-16412.442185330834,0.0019987225294383405
E2,a / 2,0.3337046764972896,-16412.44218533083,0.003997445058876685
P3,3*a**(2/3),0.19424304323884084,10512.000286300832,0.24446202042732398
G2,1 / (3*(1 - a)**2),0.10464442359451447,25552.8088683232,6.460195876133795
P4,4*a**(3/4),0.0291663365213849,3780.8896683929124,0.04189166522773038
B1,1 / (a - (1 - a)),0.015609134683111956,54667.72888947877,5379.996106351104
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.010205084534132604,-2451.3566641196494,0.18770070012490842
G3,1 / (4*(1 - a)**3),0.002448823141500414,5373.859232570098,0.032548207146660096
