Model,Equation,R2_score,Ea,A
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.9994996098251766,-1095807.231863736,1.545183344526027e-85
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9991557585071975,811262.7519403736,1.5906579185634876e+63
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9990514543309634,720449.8955687495,1.207594565834595e+56
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9990329687877072,-550930.0936339902,2.9857950767299768e-43
F1/A1,(1 - a),0.9986727728302071,538824.1828255014,6.606572036193304e+41
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9976147413257528,357198.4700822524,3.2127629074830375e+27
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9961467505453814,266385.61371062824,2.0579594877077134e+20
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9942585199814393,211897.89988765374,9449850470917470.0
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9919405296252138,175572.75733900408,11717701831395.89
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9886675349367815,995333.7496142086,7.054471304536469e+76
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9886675349367815,995333.7496142086,1.5676602898970033e+76
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9859814787920587,130166.32915319184,2568337816.8922253
F3/4,4*(1 - a)**(3/4),0.9853708043470006,491690.31961437815,1.9084456090865665e+37
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9832127198440966,1183869.2024587772,8.794224399183904e+91
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9733109503889696,954701.4814435908,5.680629865397622e+73
R3,3*(1 - a)**(2/3),0.9721510650399762,475979.031877337,1.2393854446479667e+36
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.9597222740309153,932488.5986661208,8.822738940107102e+70
F3/2,2*(1 - a)**(3/2),0.955366837167625,633091.9092477472,2.4741098138501475e+49
D2,1 / (-np.log(1 - a)),0.9305654155646639,895165.8682107544,3.034235638358681e+68
R2,2*(1 - a)**(1/2),0.9292745693925499,444556.45640325523,4.410353354676362e+33
D1,1 / (2*a),0.8850676542989893,840462.6600422877,1.6145488714692198e+64
F2,(1 - a)**2,0.8830622549252638,727359.6356699935,3.7061394850194985e+57
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.8739503855453559,821295.9387886182,4.4094103975239075e+61
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.8682537575074606,812013.9460021077,7.326545469788244e+60
F1/3,(3/2)*(1 - a)**(1/3),0.8622874171371065,413133.8809291729,1.3950438490552392e+31
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.8496671621121042,784167.9676433069,3.3608987685279885e+58
P3/2,(2/3)/a**(1/2),0.8225738966389758,595375.6950116483,1.4625716584337243e+45
F3,(1 - a)**3,0.7553428681922965,915895.0885144859,2.0790615476790492e+73
F0/R1/P1,"np.full_like(a, 1)",0.6618472732694455,350288.72998100903,1.1776889198539953e+26
B1,1 / (a - (1 - a)),0.4775539380696428,-1145288.8769874014,1.1903395599322214e-90
E2,a / 2,0.3303505614362722,-139885.20008027018,3.43613306838988e-12
E1,a,0.3303505614362722,-139885.20008027018,1.718066534194943e-12
P2,2*a**(1/2),0.1799738500391537,105201.76495036925,7112221.736021047
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.14164270429831843,-6052.95540424453,0.5128465691247402
G1,1 / (2*(1 - a)),0.0924072766129458,161753.27713651655,41987014879.98962
G3,1 / (4*(1 - a)**3),0.042618141192420564,-215317.62855246812,2.6684177647267883e-21
P3,3*a**(2/3),0.01169995650067437,23506.10994015616,2.3437732535015683
P4,4*a**(3/4),0.006659423027460789,-17341.717564950424,0.0012358838005872442
G2,1 / (3*(1 - a)**2),0.0012283235324589063,-26782.17570797589,1.1226921147082511e-05
