Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9847564803091213,-8.42940244043754,0.9993823621784756,-98179.13561155823
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9819272555004086,-9.56484059944753,0.9230208749159494,-39905.327549633934
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9804420722561201,-10.010765813441607,0.9513958194704385,-19095.882484853846
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.978981436787218,-10.396808920575246,0.0690714863957939,-2721.4009582620843
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9786721511427238,-5.758779577866149,0.998754457562442,-430932.7772675934
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9762206874967893,-11.031221614196046,0.468706190312398,36202.02332302891
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9695240820607515,-12.264145066847753,0.8291837380354856,130190.44140760216
D2,1 / (-np.log(1 - a)),0.9661089726996179,17.052286606740513,0.9650321910032189,-1269237.191700787
P4,4*a**(3/4),0.9548753866051819,-19.32834692585361,0.933376367336229,-841895.9992426152
E1,a,0.9548753866051817,-14.49626019439021,0.9333763673328662,-841895.9992260161
P3,3*a**(2/3),0.9548753866051815,-21.744390291585304,0.9333763673315351,-841895.9992198221
E2,a / 2,0.9548753866051812,-14.496260194390205,0.9333763673327924,-841895.999225961
D1,1 / (2*a),0.9548753866051812,14.496260194390205,0.9333763673308754,-841895.9992179743
P3/2,(2/3)/a**(1/2),0.954875386605181,28.9925203887804,0.9333763673301378,-841895.9992119091
P2,2*a**(1/2),0.9548753866051805,-28.9925203887804,0.9333763673313912,-841895.9992181833
F1/3,(3/2)*(1 - a)**(1/3),0.9411014901090985,-46.9234450639375,0.9341182648861805,832364.4057709335
R3,3*(1 - a)**(2/3),0.9411014901090983,-23.461722531968746,0.9341182648850189,832364.4057601577
F1/A1,(1 - a),0.9411014901090983,-15.641148354645832,0.9341182648840567,832364.4057588
F2,(1 - a)**2,0.9411014901090983,-7.820574177322916,0.9341182648840464,832364.4057591059
R2,2*(1 - a)**(1/2),0.9411014901090976,-31.282296709291654,0.9341182648839603,832364.405757756
G2,1 / (3*(1 - a)**2),0.9411014901090976,7.820574177322913,0.934118264883213,832364.4057532643
G1,1 / (2*(1 - a)),0.9411014901090976,15.641148354645827,0.9341182648828636,832364.405753348
F3/4,4*(1 - a)**(3/4),0.9411014901090974,-20.854864472861095,0.9341182648834983,832364.4057577202
G3,1 / (4*(1 - a)**3),0.9411014901090967,5.213716118215272,0.9341182648839588,832364.4057578872
F3/2,2*(1 - a)**(3/2),0.9411014901090965,-10.42743223643054,0.9341182648839579,832364.4057579152
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.9363184714307867,14.306275074384926,0.9333779553361871,-841888.1673908094
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.9256898724996441,14.190777644131796,0.9333789166829023,-841883.6924202205
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.9145889558819661,21.24753798481034,0.8736313217584246,-1949425.8610488065
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.8875172205745705,13.742297884027419,0.9333734554876284,-841899.2004758285
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.8581484569458561,-20.786927328395585,0.7592213198058877,1781690.9975094437
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.8275594561800218,24.082634878873247,0.6822036061306777,-2143655.948800734
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.7608417334272302,-23.89543080261934,0.5771962414829076,1991029.6277761662
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.6496443828889952,28.25970554792238,0.4230115265855958,-2254591.3873783015
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.6496443828889951,28.259705547922387,0.42301152658559454,-2254591.387378298
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.5996228841745017,-16.12758791376567,0.36996025616041256,1877596.3575902337
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.5278443102256836,-3.711204673913458,0.9750115291691495,1062963.8873252973
F3,(1 - a)**3,0.35952759298363773,-3.640922582331179,0.9810135957436078,-1016569.8889970443
B1,1 / (a - (1 - a)),0.00013704118774297486,-0.011488409851618043,0.7092785303910478,832059.4266399659
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
