conversion,Friedman
0.0,10318.503581698586
0.01,101666.9167720901
0.02,101376.53865082958
0.03,101862.151130505
0.04,101835.10413210065
0.05,101781.8739088774
0.06,101858.72551293013
0.07,102048.73435753281
0.08,102111.16405593352
0.09,102150.2633754249
0.1,102174.41506891741
0.11,102220.15821592548
0.12,102318.59786438236
0.13,102414.87717651337
0.14,102479.39337944948
0.15,102543.85239520376
0.16,102601.91794089986
0.17,102663.07127664438
0.18,102741.2512277539
0.19,102819.43597354324
0.2,102895.86977206034
0.21,102971.6536647264
0.22,103047.04146018157
0.23,103122.42768987778
0.24,103197.95092209116
0.25,103273.550755553
0.26,103352.28587636983
0.27,103435.9798833386
0.28,103520.55242745155
0.29,103605.14362184906
0.3,103688.94725327073
0.31,103766.5583683419
0.32,103846.51840919277
0.33,103937.6218483094
0.34,104029.58907611971
0.35000000000000003,104121.59768407534
0.36,104213.64758452128
0.37,104298.02041071566
0.38,104381.38969262803
0.39,104480.80748821668
0.4,104580.33116123886
0.41000000000000003,104679.92185643694
0.42,104779.57954158165
0.43,104873.00982991507
0.44,104965.88516774919
0.45,105073.63305032064
0.46,105181.47677573016
0.47000000000000003,105289.41638770857
0.48,105397.45192980148
0.49,105499.14869651021
0.5,105610.53559659213
0.51,105727.47717751468
0.52,105844.54652121442
0.53,105961.74376728293
0.54,106079.06905539086
0.55,106202.71179075111
0.56,106329.55080206327
0.5700000000000001,106456.55152738231
0.58,106583.71421776125
0.59,106711.03912470324
0.6,106861.91015288394
0.61,107001.99466623778
0.62,107139.50799281655
0.63,107277.21751631024
0.64,107415.13423487432
0.65,107598.71063895297
0.66,107761.22330625064
0.67,107909.42596585352
0.68,108057.85570311379
0.6900000000000001,108238.1068403118
0.7000000000000001,108454.07441094775
0.71,108624.1686473906
0.72,108782.5204766062
0.73,108977.73224674154
0.74,109219.74789298172
0.75,109437.95113761444
0.76,109604.51954428208
0.77,109849.45855911262
0.78,110119.99215631792
0.79,110363.23948599452
0.8,110592.99470854708
0.81,110888.99437129253
0.8200000000000001,111189.95097064035
0.8300000000000001,111481.87978147085
0.84,111800.70216829813
0.85,112144.13064988394
0.86,112529.17834953673
0.87,112883.78615389387
0.88,113392.32247247202
0.89,113773.47974115323
0.9,114343.75307605686
0.91,114852.29795986494
0.92,115523.21298098785
0.93,116230.5869252136
0.9400000000000001,117108.15771453455
0.9500000000000001,118063.01311005864
0.96,119256.9734407858
0.97,120882.53684091438
0.98,123018.86400057006
0.99,126873.95862248489
