,conversion,A,Ea
0,1e-05,41256.63066734266,66545.26986551675
1,0.01001,190128713.64916447,102049.0406484042
2,0.02001,421601650.1284459,105400.74293560056
3,0.03001,641457915.9378716,107167.0948562341
4,0.04001,844609044.5252559,108325.05757637954
5,0.05001,1023700601.7698512,109134.42920224868
6,0.06001,1198272844.4819748,109797.1315465621
7,0.07001,1333040493.2112808,110245.7083210877
8,0.08001,1440372767.278722,110571.63423948215
9,0.0900099999999999,1524987535.0246558,110811.88944411448
10,0.10001,1593739980.3675225,110997.48487573492
11,0.11001,1645930914.1364925,111133.10306586784
12,0.1200099999999999,1672263921.5027711,111199.90574669091
13,0.13001,1695783507.8410468,111258.68779782832
14,0.14001,1710437617.4832428,111294.90171252034
15,0.15001,1707656410.358694,111288.0525792014
16,0.16001,1691052341.6144257,111246.92906459815
17,0.17001,1663912054.4418416,111178.8329718983
18,0.18001,1629169879.139686,111090.02401258783
19,0.19001,1589247165.3226643,110985.60340670364
20,0.20001,1546103443.2585778,110869.766992135
21,0.21001,1501237930.25847,110745.82767227096
22,0.22001,1455741000.3704765,110616.30245403158
23,0.23001,1399680830.152757,110451.02023237447
24,0.24001,1339176848.2374032,110265.0380453962
25,0.25001,1286874279.153066,110097.36491368891
26,0.26001,1238737242.4624949,109936.91052717944
27,0.27001,1178305265.3415747,109726.40707072675
28,0.28001,1121383746.1757257,109518.01447570148
29,0.29001,1068512068.0450782,109314.7459002476
30,0.30001,1013138336.7494923,109090.77857783673
31,0.31001,961892335.4575561,108872.3196361897
32,0.32001,910306126.6371325,108640.32504087772
33,0.33001,858564240.4045376,108394.02960755843
34,0.34001,813942491.3733611,108169.3994889943
35,0.35001,765313176.5507478,107910.11936705816
36,0.36001,720312466.4981327,107655.06717850787
37,0.37001,678824397.6508722,107405.39131879403
38,0.38001,637535669.2314065,107141.28092799267
39,0.39001,598886791.6585741,106878.0737637456
40,0.40001,561531751.7115129,106607.01040034898
41,0.41001,527402562.32205003,106343.10228161566
42,0.42001,492693911.0248267,106056.58530113578
43,0.43001,462032991.938322,105786.16357740274
44,0.44001,431726976.9616184,105500.62771500729
45,0.45001,403613739.595093,105217.22927639652
46,0.46001,377090086.2649224,104931.14077170166
47,0.47001,352147603.98861223,104643.11841139448
48,0.48001,328567841.8328691,104351.42017321177
49,0.49001,306549659.18362117,104059.4841657465
50,0.50001,285820026.1627967,103764.79622817309
51,0.51001,266415679.6075595,103468.89990602434
52,0.52001,248192124.99709177,103170.68828682243
53,0.53001,231203072.14663294,102872.25752167744
54,0.54001,215252274.12651262,102571.38988579178
55,0.55001,200370618.8017458,102269.86464338066
56,0.56001,186452878.91481125,101966.873752731
57,0.57001,173539875.07873854,101664.80480306852
58,0.5800099999999999,161256183.3482808,101355.82523663528
59,0.5900099999999999,150195506.35056344,101056.76416081376
60,0.6000099999999999,139465589.32365403,100744.8097339156
61,0.6100099999999999,129770230.76240762,100441.55676331464
62,0.62001,120613016.35512426,100133.56574115487
63,0.63001,112162096.96370861,99827.8311863642
64,0.64001,104136003.3356198,99515.34044179288
65,0.65001,96862749.48412205,99210.61322769684
66,0.66001,90024659.24806005,98902.48257611756
67,0.67001,83496966.17266151,98585.67372277766
68,0.68001,77685843.21993084,98282.06390331598
69,0.69001,72079601.74489179,97966.81807201864
70,0.70001,67020791.158019744,97660.55273998856
71,0.7100099999999999,62131347.88682741,97341.72829330224
72,0.7200099999999999,57752893.88591984,97034.16245388964
73,0.7300099999999999,53744830.79394006,96731.44189692214
74,0.74001,49637100.17634105,96396.80623903696
75,0.75001,46185658.64229916,96093.48280367652
76,0.76001,42835548.14131164,95776.55744087948
77,0.77001,39639801.924621984,95450.23134623
78,0.78001,36911097.44331605,95150.05501589694
79,0.79001,34240144.82509123,94833.91896936616
80,0.80001,31597946.029615093,94495.9259173656
81,0.81001,29276878.937259797,94174.82114919026
82,0.82001,27131542.493187226,93854.52834142713
83,0.83001,25086553.915408086,93524.70740506735
84,0.8400099999999999,23154932.836042035,93187.48245048463
85,0.8500099999999999,21350504.673072927,92846.01378700243
86,0.8600099999999999,19637739.527712252,92494.06646275656
87,0.87001,18016398.647356786,92131.39245155166
88,0.88001,16542506.292050451,91772.17658421664
89,0.89001,15229652.532928038,91424.15740354166
90,0.90001,13891969.113904389,91037.22979992192
91,0.91001,12685573.280725647,90654.8809886904
92,0.92001,11410526.354357166,90209.04877058927
93,0.93001,10296600.05878302,89776.71220441308
94,0.94001,9220353.078427533,89312.06116058564
95,0.95001,8108165.906439894,88771.05770223874
96,0.96001,7007097.517802477,88156.7941916252
97,0.97001,5939967.336467385,87461.41988515205
98,0.98001,4779389.178492557,86546.46953589385
99,0.99001,3420597.256757763,85138.64289406952
