Model,Equation,R2_score,Ea,A
D6,((1 + a)**(1/3) - 1)**2,0.9953837558350087,229913.47774186012,4075665.1103748144
D7,1 + (2*a/3) - (1 + a)**(2/3),0.9953462491939729,231184.91553746167,4144312.8175092842
D8,((1 + a)**(-1/3) - 1)**2,0.9952165901884513,226207.59891557097,3878382.1230270425
D1,a**2,0.9951226256166598,233840.61110452318,4610332.08118003
P3/2,a**(3/2),0.9950665783576855,173236.71141668345,2199087.403736998
F0/R1/P1,a,0.994947422704257,112632.81172884376,626144.7879375714
D2,a + (1 - a)*np.log(1 - a),0.994639281635157,237897.14224975766,4737477.5953693725
P2,a**(1/2),0.9945235255099738,52028.91204100406,-112691.2850313543
F1/3,1 - (1 - a)**(2/3),0.9944655390778209,114851.08031169414,649273.4936213834
D4,1 - (2*a/3) - (1 - a)**(2/3),0.99419068816046,239804.2898761485,4621265.931453342
P3,a**(1/3),0.9939699172020656,31827.612145057486,-180699.48559451092
R2,1 - (1 - a)**(1/2),0.9936744975053737,116190.96490464383,660177.4666376163
G1,1 - (1 - a)**2,0.9933854066450097,107900.89799506753,565842.9622655042
G7,(1 - (1 - a)**(1/2))**(1/2),0.9933359099439117,53807.988628904044,-111691.20957977067
P4,a**(1/4),0.9932310423236042,21726.962197084198,-192143.04814995828
D3,(1 - (1 - a)**(1/3))**2,0.9923581727129495,244094.14830662822,4866360.006227451
R3,1 - (1 - a)**(1/3),0.9921584175061453,117759.58032989633,667760.1838561181
G8,(1 - (1 - a)**(1/3))**(1/2),0.9917017424725718,54592.29634153031,-113155.34040764475
F3/4,1 - (1 - a)**(1/4),0.9909607799577445,118655.07607386916,667735.5757234885
G2,1 - (1 - a)**3,0.9906665972004094,104561.46485222159,519104.2262177066
G3,1 - (1 - a)**4,0.9877615766861959,101939.53132962715,481502.2930775688
G6,(-np.log(1 - a))**4,0.985030706438374,513402.79474475724,27336968.42517283
G5,(-np.log(1 - a))**3,0.9849390229879234,382908.3491468589,14528080.308100618
G4,(-np.log(1 - a))**2,0.9847516702523981,252413.90354896092,5702678.964062351
A2/3,(-np.log(1 - a))**(3/2),0.9845588184464188,187166.68075001167,2783522.642209556
A3/4,(-np.log(1 - a))**(4/3),0.9844602583599168,165417.6064836952,2031652.615105331
F1/A1,-np.log(1 - a),0.9841556766282243,121919.45795106255,859436.4034476574
A3/2,(-np.log(1 - a))**(2/3),0.9835034866616041,78421.30941842982,128282.81444055874
A2,(-np.log(1 - a))**(1/2),0.9827872820618221,56672.235152113426,-73249.61631569594
A5/2,(-np.log(1 - a))**(2/5),0.9819977912519214,43622.79059232361,-143078.05432691693
A3,(-np.log(1 - a))**(1/3),0.9811239472390223,34923.16088579706,-169748.90304857588
A4,(-np.log(1 - a))**(1/4),0.9790671771608239,24048.623752638894,-186138.96909132073
D5,((1 - a)**(-1/3) - 1)**2,0.9635503727698874,264083.2428245048,6080092.29748173
B1,np.log(a / (1 - a)),0.9587201765546596,390840.44150858244,15112390.969391715
F3/2,(1 - a)**(-1/2) - 1,0.9435058406624462,131182.78579303593,1058890.3679944612
F2,(1 - a)**(-1) - 1,0.8694022674492773,142616.45350562685,1471709.6696802387
F3,(1 - a)**(-2) - 1,0.7111020023111949,167868.18154862788,2468118.182680904
