temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
30.661,7.619155870906602e-08,4.791694287240736e-23,1.2158723124979006e-23,1.852300394689841e-07,6.210215671346796e-180,2.320682718416716e-50,2.6514860217080373e-39,4.615206247744304e-08,7.952054874938022e-17,7.739008238539966e-18,8.469617547724295e-10,2.2104961538693503e-146,5.355486041246913e-51,3.946638247739908e-32,1.4451934597418396e-08,1.9676120042538867e-20,5.132932531698098e-19,6.246046150573654e-12,1.684156000593382e-174,2.4885100086388147e-54,6.62551620648301e-42
31.61591,1.5684439123462155e-07,1.0593959170605702e-22,2.68738957275177e-23,3.7776613617920426e-07,2.6745593370528695e-179,5.510501435622704e-50,6.021599096028534e-39,9.514028521886304e-08,1.707459430658164e-16,1.6663269991090558e-17,1.7407404909644407e-09,7.96333551665904e-146,1.271927934796142e-50,8.721911174682274e-32,2.9779744018922753e-08,4.271789219761728e-20,1.1011851258002987e-18,1.2953209802196367e-11,6.559344423363698e-174,5.905910849995343e-54,1.5001168769395493e-41
32.57083,2.4213344949103874e-07,1.7622534440278725e-22,4.4644337217871627e-23,5.776082901306604e-07,9.430400985914161e-179,9.900982254248921e-50,1.0296191046912987e-38,1.4713655672510706e-07,2.7524487359231604e-16,2.6842506052593577e-17,2.6855922977959954e-09,2.294661488598267e-145,2.2851279966536665e-50,1.4511730407571236e-31,4.607101574692167e-08,6.977255725610822e-20,1.775310264963316e-18,2.0121490954868146e-11,2.0615082473428767e-173,1.0596236165816887e-53,2.5689501517589784e-41
33.52574,3.322336853926897e-07,2.6127224063841073e-22,6.615592428514218e-23,7.851862693963665e-07,3.175146370241622e-178,1.5940133421093964e-49,1.5729259367095112e-38,2.023127654970222e-07,3.95068705015889e-16,3.855559960281622e-17,3.6857732644870547e-09,6.179215399163652e-145,3.6782780817077624e-50,2.1523254616207414e-31,6.332574978141514e-08,1.014873560088847e-19,2.5486720997391624e-18,2.7792809381411625e-11,6.1389385645689596e-173,1.7052600842607915e-53,3.925305827991821e-41
34.48066,4.275824787255048e-07,3.642596036366891e-22,9.221923847099461e-23,1.0009298420493363e-06,1.0536136830528082e-177,2.423724615180392e-49,2.2605776853300536e-38,2.609267442858791e-07,5.326308075565467e-16,5.194199223164211e-17,4.745539480257582e-09,1.6260557690869058e-144,5.596121055938076e-50,3.002207183879672e-31,8.163153360481178e-08,1.3876842556316886e-19,3.4315364951912354e-18,3.6009084854649453e-11,1.7915367741650505e-172,2.59286687996883e-53,5.644189749485055e-41
35.43557,5.28179829489484e-07,4.891615874273244e-22,1.2376956616965807e-22,1.225268776162584e-06,3.484129401071922e-177,3.5616655620488204e-49,3.1340812579020937e-38,3.2315038159252484e-07,6.894998718572968e-16,6.728056711883842e-17,5.864890945107577e-09,4.2435051897773917e-144,8.228631930942892e-50,4.0273770113545065e-31,1.0107595469952018e-07,1.8239245486800833e-19,4.4444351814463266e-18,4.481223714740426e-11,5.197837256568206e-172,3.808452414142629e-53,7.82560970803465e-41
36.39049,6.349004972564881e-07,6.401794405560016e-22,1.6192925105420758e-22,1.4582030717361092e-06,1.1489950562057329e-176,5.129694425843899e-49,4.2429971408126977e-38,3.891555659178065e-07,8.692959532481565e-16,8.48502074441724e-17,7.052339837476964e-09,1.1050723471149114e-143,1.1847203580434051e-49,5.270329030158193e-31,1.217466005479489e-07,2.3352447734697446e-19,5.60789988863123e-18,5.42441860324987e-11,1.5024191064541623e-171,5.482749470646163e-53,1.0594575443385569e-40
37.3454,7.477444820265171e-07,8.229905259222951e-22,2.0813239892912778e-22,1.700162496842926e-06,3.787840692912199e-176,7.289094175413122e-49,5.655471002844082e-38,4.5920013001299473e-07,1.0756391070591431e-15,1.0499951718235303e-16,8.30788615736574e-09,2.8716194826339323e-143,1.6822739598484393e-49,6.773557326403676e-31,1.4364347115009797e-07,2.9358842273998783e-19,6.942462346872736e-18,6.430493150993278e-11,4.338892370611437e-171,7.787774870353084e-53,1.4113599617206262e-40
38.30032,8.675865433714314e-07,1.044407679005694e-21,2.640625253040312e-22,1.9515768195560483e-06,1.2507935860825672e-175,1.0254908769219813e-48,7.445843573576846e-38,5.335419066293601e-07,1.312149388620274e-15,1.2807710030808931e-16,9.635785993993872e-09,7.468341610136306e-143,2.3661840016022684e-49,8.59017950773214e-31,1.6694174147078462e-07,3.6400822078696903e-19,8.468654286297636e-18,7.507831312535177e-11,1.2544404313352126e-170,1.0952884374428259e-52,1.858269781308867e-40
39.25523,9.935519217193708e-07,1.3123792078656025e-21,3.320266699513497e-22,2.21287580794849e-06,4.127730558431722e-175,1.4331783815087016e-48,9.719430886583503e-38,6.125246727685969e-07,1.5836535383715721e-15,1.5457100238597386e-16,1.1040295436581318e-08,1.9399471478301418e-142,3.307012630469969e-49,1.0789248464077123e-30,1.9164141151000878e-07,4.464666975441879e-19,1.0220695257117255e-17,8.664817042440095e-11,3.622389093823652e-170,1.5310643836560745e-52,2.4258139997509966e-40
