Model,Equation,R2_score,Ea,A
F2,(1 - a)**2,0.993942895283946,830305.3244639258,6.79092956874339e+66
F3,(1 - a)**3,0.9928864403583564,1298873.204015997,7.262416770951144e+105
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9486020257004979,-144213.5401605621,1.5826419251484265e-12
B1,1 / (a - (1 - a)),0.9435202739660379,-641509.0169672437,1.8337038909422146e-53
F3/2,2*(1 - a)**(3/2),0.9422334269759666,596021.3846878905,1.0383009696011678e+47
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9137790882173147,-650164.5252329792,2.958348351439137e-52
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9109570483899483,1119954.1042250486,1.1413448777373455e+88
E1,a,0.9029860554298147,-496194.46061968023,4.241699359039634e-42
E2,a / 2,0.9029860554298145,-496194.4606196802,8.483398718079404e-42
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.8871745432629459,-1156115.510305396,4.915451719274769e-92
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.7678511063122265,614712.9374480634,8.532589454797115e+47
P4,4*a**(3/4),0.7632450226187333,-398853.454124814,3.647550025631006e-35
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.754512492538515,530387.7732693274,1.6950827020741493e+41
G3,1 / (4*(1 - a)**3),0.7348188293203783,-1512534.0732964291,1.9419118296201482e-128
F1/A1,(1 - a),0.7090114882182843,361737.4449118548,6.350052036685315e+27
P3,3*a**(2/3),0.696304119465544,-366406.4519598586,1.5816623680183932e-32
G2,1 / (3*(1 - a)**2),0.6660089758503376,-1043966.1937443579,1.5575525665940913e-89
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.611322242056114,651386.2246728141,4.802611603221215e+49
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.611322242056114,651386.2246728141,1.0672470229380395e+49
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.588865258287736,193087.11655438264,211451686794582.3
P2,2*a**(1/2),0.5339904613638627,-301512.44762994803,2.509300176803172e-27
G1,1 / (2*(1 - a)),0.5047304298941309,-575398.3141922869,1.1104612180865852e-50
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.5022250562762719,553862.8899703237,7.087560995281868e+41
F3/4,4*(1 - a)**(3/4),0.44357626691067775,244595.47502383715,2.776062933498022e+17
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.42513786384438473,495196.93148895376,1.043632603131159e+36
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.42508545663468383,108761.95237564648,35443367.82130881
R3,3*(1 - a)**(2/3),0.33743744048146795,205548.15172783122,206984924590554.12
D2,1 / (-np.log(1 - a)),0.29711527986152547,399120.5504322009,4.764857925863309e+28
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.23204240814365806,58166.853868404745,2898.5614196634697
D1,1 / (2*a),0.16355319744818247,282533.59133924765,1.662420158218523e+19
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.14074132239251674,256814.73501823298,1.208571186668159e+16
R2,2*(1 - a)**(1/2),0.13977143934948116,127453.50513581933,97089288.2920587
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.12997155149568884,244445.7930218444,1075419206213887.1
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.0987552163548841,207338.96703228413,757695041696.0742
F0/R1/P1,"np.full_like(a, 1)",0.0663496391239749,-106830.4346402161,5.937796948183145e-12
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.06561173805369586,24436.788196910296,5.2808798561766075
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.052170266631495585,-17725.793892457797,0.0018724008632378252
P3/2,(2/3)/a**(1/2),0.027767217706382817,87851.57834951584,10538.027571527264
F1/3,(3/2)*(1 - a)**(1/3),0.020130452417491583,49358.85854380765,40.48101536199828
