Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
P4,4*a**(3/4),0.9913629078178527,-22.921786752182214,0.9325378124471513,-1018255.4090248971
E1,a,0.9913629078178514,-17.19134006413665,0.932537812448091,-1018255.4090273178
P3,3*a**(2/3),0.9913629078178514,-25.78701009620497,0.9325378124478079,-1018255.4090205441
P2,2*a**(1/2),0.9913629078178512,-34.382680128273286,0.9325378124478748,-1018255.4090277134
E2,a / 2,0.991362907817851,-17.19134006413664,0.9325378124486909,-1018255.4090313263
P3/2,(2/3)/a**(1/2),0.991362907817851,34.38268012827328,0.9325378124462607,-1018255.409016246
D1,1 / (2*a),0.9913629078178505,17.19134006413664,0.9325378124490575,-1018255.409031829
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9889732797588516,-19.921490839623658,0.9838635740293235,2050396.078343186
F1/A1,(1 - a),0.9888422809586424,-15.145557095209314,0.9301573721700654,835162.244657636
F1/3,(3/2)*(1 - a)**(1/3),0.9888422809586421,-45.43667128562794,0.9301573721724337,835162.244673125
F2,(1 - a)**2,0.9888422809586421,-7.572778547604655,0.9301573721700442,835162.2446579244
R3,3*(1 - a)**(2/3),0.9888422809586419,-22.718335642813965,0.9301573721724367,835162.24467005
R2,2*(1 - a)**(1/2),0.9888422809586419,-30.29111419041863,0.9301573721715319,835162.2446676104
G2,1 / (3*(1 - a)**2),0.9888422809586419,7.572778547604657,0.9301573721706291,835162.2446613772
G1,1 / (2*(1 - a)),0.9888422809586419,15.145557095209314,0.930157372169257,835162.244651915
F3/4,4*(1 - a)**(3/4),0.9888422809586412,-20.194076126945742,0.9301573721706169,835162.2446611905
F3/2,2*(1 - a)**(3/2),0.9888422809586412,-10.09703806347287,0.930157372170015,835162.2446571479
G3,1 / (4*(1 - a)**3),0.988842280958641,5.048519031736435,0.9301573721700136,835162.2446568041
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9873292588803421,-12.199040804546296,0.9998408646484116,464754.7789158869
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9870632532584206,-23.602279762398005,0.983193505225142,2765152.853264194
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9865007112045336,-11.114517325171429,0.9669488382153877,233803.02737873563
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9860127681708225,-10.55105593106871,0.8278875977606885,117311.81298475144
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9856944952506657,-10.205913947718386,0.9995098707377584,28535.41913997197
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9853061169927313,-9.804806859809919,0.3875555356437795,-43433.83089015091
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9848843277692165,-18.006034800293225,0.9814960984989908,3628376.7228490054
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9842122296358375,-8.769878020552138,0.999776969353193,-280890.21741370106
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.9819513177845305,17.14324095457372,0.932540195505066,-1018243.0178607758
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9812495940514296,42.492563775896556,0.9809898481618315,-4805376.358581268
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.9735545675963653,30.08986974214028,0.970825820108435,-3020937.393987082
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.9731465251487535,17.05020319574443,0.9325415288595161,-1018236.4763383721
D2,1 / (-np.log(1 - a)),0.9696081477180443,20.657571312323427,0.9583799218012545,-1607449.2581312808
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9565237088846752,-6.174884646168911,0.9999999999999989,606855.0333091865
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.9311547023653272,16.491175566630258,0.9325448826491192,-1018304.1079475785
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.8699319169229752,82.13253411003386,0.8781515042632841,-10432118.141192941
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.8699319169229746,82.13253411003387,0.8781515042632841,-10432118.141192947
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.5067797336468665,-3.8028419114017513,0.9745567186446505,1079287.1233182421
F3,(1 - a)**3,0.4305151284648617,-3.7212729383466003,0.9753417529283799,-1273439.836185439
B1,1 / (a - (1 - a)),4.087090246099559e-05,-0.007316448460513208,0.8918298018233621,1016943.0568960471
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
