,conversion,A,Ea
0,1e-05,172447839.49395093,117352.49820993
1,0.01001,305898928.45577097,120449.75436727949
2,0.02001,314512876.0677786,120599.8200460089
3,0.03001,332422254.53172135,120899.08926729376
4,0.04001,333809643.58506745,120921.59560148769
5,0.05001,361356575.2585633,121350.08821350992
6,0.06001,367209326.2271196,121436.91062429904
7,0.07001,373157472.2832596,121523.74172928934
8,0.08001,379202574.30735916,121610.58147650326
9,0.0900099999999999,385346218.75865483,121697.4298139572
10,0.10001,401537360.6179966,121919.8425188386
11,0.11001,409729568.34491473,122028.9823405939
12,0.1200099999999999,418095218.86263746,122138.20364781305
13,0.13001,426638109.38457435,122247.50645409925
14,0.14001,435362122.83383626,122356.89077287144
15,0.15001,444271229.83222735,122466.35661735834
16,0.16001,453369490.7374686,122575.90400060343
17,0.17001,461211258.6856245,122668.57287072705
18,0.18001,471354207.68411845,122786.12576673464
19,0.19001,481732260.5947085,122903.81372718576
20,0.20001,492351136.2005956,123021.63694828429
21,0.21001,503216698.7411749,123139.59562655695
22,0.22001,514334961.76941144,123257.68995886028
23,0.23001,525712092.1148563,123375.92014237982
24,0.24001,537354413.9560411,123494.28637462934
25,0.25001,548538362.1225977,123605.60167245333
26,0.26001,560134291.468118,123718.64615152666
27,0.27001,572907577.5129293,123840.49077572906
28,0.28001,585988907.600213,123962.48998029236
29,0.29001,599386102.4822946,124084.64403708251
30,0.30001,613107191.156031,124206.9532185877
31,0.31001,627160416.6600096,124329.41779792146
32,0.32001,641554242.0399163,124452.03804882524
33,0.33001,658366828.8787662,124591.82707158268
34,0.34001,676380484.6186193,124737.69521891688
35,0.35001,694612151.6893675,124881.42546062272
36,0.36001,710800864.203427,125005.9224480828
37,0.37001,727388327.2483479,125130.57882501298
38,0.38001,744384875.4286565,125255.39487665992
39,0.39001,761801124.1507218,125380.37088895123
40,0.40001,779923444.6475511,125507.41610349248
41,0.41001,804344335.7162932,125674.02516263814
42,0.42001,829662099.5749886,125841.4953993534
43,0.43001,855826460.6245098,126009.27938494438
44,0.44001,881048197.9235982,126166.23192286058
45,0.45001,901779171.7103114,126291.91050698917
46,0.46001,923024500.2421541,126417.74457102107
47,0.47001,944797584.6691301,126543.73437988407
48,0.48001,975265860.9114369,126715.2485695022
49,0.49001,1008949280.9708352,126898.73351563983
50,0.50001,1043867758.601142,127082.58970012909
51,0.51001,1080069130.2212706,127266.81818207246
52,0.52001,1116557820.281856,127446.36313822777
53,0.53001,1142561767.7558796,127570.7717760398
54,0.54001,1170958713.8589745,127703.43525876135
55,0.55001,1214499411.3693926,127900.72436945212
56,0.56001,1259756279.9300275,128098.43028190556
57,0.57001,1306800676.6665623,128296.55421313398
58,0.5800099999999999,1355707076.093594,128495.09738464524
59,0.5900099999999999,1406553212.7286968,128694.06102246651
60,0.6000099999999999,1445058593.6582565,128840.00585131008
61,0.6100099999999999,1502124192.05682,129049.29797347236
62,0.62001,1561752392.0886872,129259.65962227032
63,0.63001,1623883806.8342533,129470.4745867401
64,0.64001,1688629063.4068313,129681.74417708255
65,0.65001,1756103916.3183641,129893.4697081204
66,0.66001,1841665287.3566487,130150.54339405637
67,0.67001,1918478128.872503,130371.35461461674
68,0.68001,1998669238.157525,130592.63773459912
69,0.69001,2082394622.614479,130814.3940489996
70,0.70001,2169817827.5155067,131036.62485688795
71,0.7100099999999999,2294616476.803123,131338.82029476424
72,0.7200099999999999,2432766427.0413494,131654.74596991655
73,0.7300099999999999,2537812894.879363,131883.18505302467
74,0.74001,2647624031.336819,132112.0910960209
75,0.75001,2780489124.367845,132376.68513376897
76,0.76001,2995266407.920024,132778.76389886744
77,0.77001,3189231102.433541,133117.8359701804
78,0.78001,3327841770.2023635,133347.73697638046
79,0.79001,3523652432.787407,133656.6958112604
80,0.80001,3825421711.688817,134100.73158213866
81,0.81001,4132342069.0005465,134517.77515129803
82,0.82001,4337875823.209463,134780.07928081005
83,0.83001,4717006799.145034,135232.8639585831
84,0.8400099999999999,5162385846.474724,135720.42085346603
85,0.8500099999999999,5565173822.797239,136126.40685985988
86,0.8600099999999999,6098502671.784987,136620.9382445125
87,0.87001,6724239229.96212,137148.75966709474
88,0.88001,7490800111.981776,137732.13947306774
89,0.89001,8309073523.483078,138292.3675354419
90,0.90001,9608202224.976011,139077.37593150025
91,0.91001,10781559105.505991,139700.00496301023
92,0.92001,12866575218.65734,140655.37801385726
93,0.93001,15014641269.677132,141489.69042783682
94,0.94001,18418327078.984684,142593.80214924944
95,0.95001,23656844633.483746,143946.4135575502
96,0.96001,31739453171.523376,145534.6410365832
97,0.97001,44952693996.80897,147415.44353645857
98,0.98001,78673965680.78369,150439.97321154355
99,0.99001,202620610016.54788,155552.11631087164
