Model,Equation,R2_score,Ea,A
G6,(-np.log(1 - a))**4,0.9989686391674676,934232.7072535192,66741049.11351099
G5,(-np.log(1 - a))**3,0.9989617598363343,698593.7048258497,36624399.70203386
G4,(-np.log(1 - a))**2,0.9989477479866468,462954.7023981801,15462670.82137201
A2/3,(-np.log(1 - a))**(3/2),0.9989333908595914,345135.20118434535,8239833.275231138
A3/4,(-np.log(1 - a))**(4/3),0.9989260798617491,305862.0341130669,6329685.228700934
F1/A1,-np.log(1 - a),0.9989036024821494,227315.69997051032,3255526.2601887556
A3/2,(-np.log(1 - a))**(2/3),0.9988560826217353,148769.36582795385,1176002.4231378436
A2,(-np.log(1 - a))**(1/2),0.9988048961877128,109496.19875667559,508960.9218124616
A5/2,(-np.log(1 - a))**(2/5),0.9987497204982083,85932.2985139087,227769.87148974004
A3,(-np.log(1 - a))**(1/3),0.998690198619403,70223.03168539738,89712.60812550972
A4,(-np.log(1 - a))**(1/4),0.9985564906108255,50586.448149758224,-27824.74231713075
F3/4,1 - (1 - a)**(1/4),0.9936861596253268,216034.2621637115,2755999.565011142
D5,((1 - a)**(-1/3) - 1)**2,0.9933396953932587,505445.1369023689,18441437.634999946
D3,(1 - (1 - a)**(1/3))**2,0.991845319962176,434474.2874686267,13024377.593381468
R3,1 - (1 - a)**(1/3),0.9914455087417952,213075.49250573365,2682757.840975394
G8,(1 - (1 - a)**(1/3))**(1/2),0.9905648072027226,102376.09502428728,383940.0984885478
R2,1 - (1 - a)**(1/2),0.9869812338322745,208067.1481143493,2554569.064391742
D4,1 - (2*a/3) - (1 - a)**(2/3),0.9856642974277873,420734.80912025453,12080519.407705987
G7,(1 - (1 - a)**(1/2))**(1/2),0.9856499169569356,99871.9228285951,358361.03440720733
F1/3,1 - (1 - a)**(2/3),0.9827998491615783,203974.68565675642,2448705.073854808
D2,a + (1 - a)*np.log(1 - a),0.9825870965119117,414865.42285838776,11917412.28727719
F3/2,(1 - a)**(-1/2) - 1,0.9819697832903406,261295.28518971553,4493187.2776823
D1,a**2,0.9765994593547805,403458.90869964316,11267772.345436586
P3/2,a**(3/2),0.9762267947660157,300513.3559104429,5938110.706494824
F0/R1/P1,a,0.9754571845919217,197567.80312124192,2283913.8016804573
D7,1 + (2*a/3) - (1 + a)**(2/3),0.9737915225852191,397037.41783041024,10530241.13591008
P2,a**(1/2),0.9729371587683007,94622.25033204145,304228.10767325014
D6,((1 + a)**(1/3) - 1)**2,0.9723647036635549,393983.2685492187,10337467.020402053
P3,a**(1/3),0.970055304831932,60307.066068974615,15192.181288747233
D8,((1 + a)**(-1/3) - 1)**2,0.9678315456901349,385120.8840916575,9787776.773697227
P4,a**(1/4),0.9667425108807036,43149.473937441166,-61060.54521028258
G1,1 - (1 - a)**2,0.9590304565093866,185198.17509577886,1974894.5892974115
G2,1 - (1 - a)**3,0.9471710125829673,177265.71482074301,1785256.0996421452
G3,1 - (1 - a)**4,0.9377515222614702,171372.24476555295,1649290.9639597926
F2,(1 - a)**(-1) - 1,0.9253891265263887,304024.0772720135,6500504.242157455
B1,np.log(a / (1 - a)),0.8355376337035146,273757.17171368067,4901870.302486172
F3,(1 - a)**(-2) - 1,0.8029811492291453,398110.72339732636,12047956.200821588
