temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_3_diff_reaction_7_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_5_diff_reaction_7_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion,rate_10_diff_reaction_7_conversion
29.476,3.091214497430329e-07,6.631656835622488e-13,3.9190705765121506e-14,2.807255857753125e-15,5.432414345406411e-12,3.6729148736876055e-135,1.0304199252629034e-36,1.5242316558191622e-38,3.150676695024823e-08,1.1291055721762022e-12,5.023115176033242e-17,8.600546389692651e-14,1.7468780236197665e-11,6.6854222487727906e-183,1.3768485026169513e-39,1.714375062578561e-33,3.6730389984126196e-08,1.393811314351323e-13,1.2420759360550954e-14,1.8772118330290226e-12,1.3503344842565086e-19,2.0864627885810467e-133,1.0526811173732633e-42,4.703006128163447e-44
30.43091,6.376845000988351e-07,1.4102258210691193e-12,8.331450736081775e-14,5.963801614858021e-15,1.1316101806782441e-11,1.3215628283829234e-134,2.33826059963505e-36,3.457622841666477e-38,6.545802443973987e-08,2.384650738101139e-12,1.0781479076019536e-16,1.8050949142003153e-13,3.618939488671569e-11,2.8799725289646456e-182,3.1285814985206966e-39,3.791489433108253e-33,7.604617149626127e-08,2.947618629467036e-13,2.625465900763166e-14,3.904600612700367e-12,2.8715276175413915e-19,6.718793016439884e-133,2.3877888759930114e-42,1.0663036935743853e-43
31.38583,9.886053911593222e-07,2.2518336765135796e-12,1.3305655698577968e-13,9.521383923070506e-15,1.7656774702051753e-11,3.8044990514053854e-134,3.997123446349504e-36,5.912580021835393e-38,1.0203484584175217e-07,3.7754862693372225e-12,1.7353171210467172e-16,2.845319102044565e-13,5.621874551584135e-11,1.0153405147610376e-181,5.350624131456965e-39,6.304754638198234e-33,1.1812564740040585e-07,4.670652483852777e-13,4.1650450550350513e-14,6.103620188534364e-12,4.585625677148633e-19,1.695968835488814e-132,4.0887675107729794e-42,1.8248530690846186e-43
32.34074,1.361884122924494e-06,3.1999741718877185e-12,1.8910200683869819e-13,1.3531749434146399e-14,2.456867938968767e-11,1.0246402708371498e-133,6.108918128344356e-36,9.028487212049786e-38,1.4132776784292381e-07,5.330693272446661e-12,2.4900857226268415e-16,3.989225766128193e-13,7.767063525214923e-11,3.4185133307634934e-181,8.172481953652102e-39,9.344855504836286e-33,1.6314712056056054e-07,6.593681339194008e-13,5.87568855978159e-14,8.484997485291181e-12,6.520186509695712e-19,3.9738502285268375e-132,6.245480043927959e-42,2.7892944179476296e-43
33.29566,1.7604369354862661e-06,4.267963887182746e-12,2.522730395580024e-13,1.804664479984152e-14,3.2051815869690196e-11,2.695187222732447e-133,8.786877604439704e-36,1.2985194755179175e-37,1.8369893718980936e-07,7.062915706804329e-12,3.355466964093708e-16,5.248712895527847e-13,1.0065886722421391e-10,1.134387048992053e-180,1.1757740925813074e-38,1.3024068485483475e-32,2.1137804527272622e-07,8.716705195490725e-13,7.779709156369042e-14,1.1059459427730984e-11,8.697256392476614e-19,9.017730455968175e-132,8.979883434178018e-42,4.008391628589076e-43
34.25057,2.185235908875277e-06,5.4717827183881134e-12,3.2352886822185976e-13,2.3130753334850633e-14,4.0163307321295984e-11,7.043186138624317e-133,1.2189528016983688e-35,1.802100435552567e-37,2.2923889056904748e-07,8.984797531785098e-12,4.3509807230743897e-16,6.633978766594944e-13,1.252403429963227e-10,3.742085211037271e-180,1.6304067417127464e-38,1.747194333297949e-32,2.629967244009036e-07,1.1085876745271119e-12,9.891982005708247e-14,1.3848459865374102e-11,1.1149904741432313e-18,2.0215718816701315e-131,1.2452447364049577e-41,5.557999638559982e-43
35.20549,2.6372531231221646e-06,6.8300738774915145e-12,4.0369167546869917e-13,2.886169501680747e-14,4.890315374450504e-11,1.8347983319943177e-132,1.6509365395970473e-35,2.440569152739355e-37,2.783097747271927e-07,1.1121626666138717e-11,5.489640251320267e-16,8.158621081131369e-13,1.515857672613374e-10,1.2357715413088629e-179,2.2077288613744088e-38,2.2869849701299897e-32,3.182706122410935e-07,1.371658021937792e-12,1.2242257429620884e-13,1.6862725722980703e-11,1.3916712541827282e-18,4.5004428093879805e-131,1.6862154239875379e-41,7.524809805061516e-43
36.1604,3.1194048183188444e-06,8.361480576480644e-12,4.941317656959027e-13,3.5317089823345766e-14,5.838560149779068e-11,4.7754186514264506e-132,2.1989840602863278e-35,3.2498956956521843e-37,3.3109266303752235e-07,1.3498691028614933e-11,6.797472052334103e-16,9.836237540939006e-13,1.7975204158354538e-10,4.086343551779862e-179,2.943865684555749e-38,2.939052059423095e-32,3.7737801165729655e-07,1.6639584079496589e-12,1.4852848169473212e-13,2.0134437774831284e-11,1.7036260778925991e-18,9.984585827080365e-131,2.2465755553697688e-41,1.0022604534420212e-42
37.11532,3.633635154526594e-06,1.007931939534671e-11,5.962194433008521e-13,4.2600431057977144e-14,6.866777376038956e-11,1.2407300959057705e-131,2.8953667570299386e-35,4.279538908580174e-37,3.878591655599524e-07,1.614127853796349e-11,8.29399600374297e-16,1.1688924411445922e-12,2.0990987065580843e-10,1.346894380149158e-178,3.877668876924671e-38,3.729305551745202e-32,4.4067552837751404e-07,1.990104101815531e-12,1.7760942127542326e-13,2.367432294568601e-11,2.0547130437992913e-18,2.2139667210098388e-130,2.9590609457870383e-41,1.3197675491913047e-42
38.07023,4.180916211776051e-06,1.2023540074063342e-11,7.106398604822382e-13,5.0802275361274297e-14,7.980679371153836e-11,3.220213812877595e-131,3.778583835826713e-35,5.583453894384177e-37,4.4897142904103734e-07,1.907467711293414e-11,1.0011745234925322e-15,1.3711582554476407e-12,2.422299591709885e-10,4.440340239045937e-178,5.05685101035404e-38,4.6836553976642493e-32,5.084306166977468e-07,2.351633526619682e-12,2.0988852045194492e-13,2.7503835085065215e-11,2.4504437212263007e-18,4.912969043853212e-130,3.8641099552360025e-41,1.722882360176743e-42
