Model,Equation,R2_score,Ea,A
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.9996939799571629,-1338401.7960336772,5.400828953160692e-104
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9995970484974159,-681997.0527876315,3.0874867826262826e-53
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9969959330592403,959014.8053274839,2.4761882740533506e+74
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9966256220742216,849614.0147864758,7.282557183992471e+65
F1/A1,(1 - a),0.995357266030788,630812.4337044606,5.979304811848548e+48
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9939878644002789,1436091.6436201269,1.710312106022128e+111
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9920714234265123,412010.85262244527,4.363801234431947e+31
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9877024289293777,302610.06208143744,1.0828766457589855e+23
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9821451058833093,236969.58775683306,7.0706710407421e+17
F3/2,2*(1 - a)**(3/2),0.9779942393843748,770778.8050276004,9.391205536414702e+59
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9752906231304961,193209.27154042997,238858385040373.9
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9709218722589148,1156158.9009737438,1.7333013444772365e+88
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9709218722589148,1156158.9009737438,7.799856050147514e+88
F3/4,4*(1 - a)**(3/4),0.9575515964974549,560829.2480428905,2.66710662438634e+42
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9572450892040212,138508.87626992614,10304528782.849968
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9456481261829286,1096058.8557059276,1.7991046062172378e+84
R3,3*(1 - a)**(2/3),0.9333958246700292,537501.5194890342,4.3131610370067984e+40
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.925060155976229,1062847.9867584198,3.750941652806329e+80
F2,(1 - a)**2,0.9196593530339162,910745.1763507408,5.899999695779796e+71
D2,1 / (-np.log(1 - a)),0.8829121616381672,1007284.4343042263,4.618838933872764e+76
R2,2*(1 - a)**(1/2),0.863995861638027,490846.0623813205,9.517437855651665e+36
D1,1 / (2*a),0.8183807659481084,927660.9841537644,2.6158571349531615e+70
F3,(1 - a)**3,0.8096116796710493,1190677.9189970205,5.821746424637858e+94
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.8031208631645604,902459.4283410512,2.4150322544047977e+67
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.7953603460395892,890276.1719507724,2.3827561036289926e+66
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.7702789550776278,853726.4027795467,2.2884928321510104e+63
F1/3,(3/2)*(1 - a)**(1/3),0.7652608830900739,444190.60527360725,1.8667746886849803e+33
B1,1 / (a - (1 - a)),0.7623084021936185,-1460104.8708145397,1.753816145647442e-114
P3/2,(2/3)/a**(1/2),0.7259563033533447,639270.3376059725,1.3353895415379454e+48
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.5123442559410855,-25592.309541585375,0.015689072450117088
F0/R1/P1,"np.full_like(a, 1)",0.5031479303385076,350879.6910581806,6.059675911266449e+25
E2,a / 2,0.4278570039406683,-225901.60203740324,5.614935412019737e-19
E1,a,0.4278570039406683,-225901.60203740324,2.807467706009863e-19
G3,1 / (4*(1 - a)**3),0.12839783309688715,-488918.53688065975,2.5229317439304006e-43
P4,4*a**(3/4),0.07696091875373134,-81706.2787635073,8.507235103988943e-09
G2,1 / (3*(1 - a)**2),0.044764431634666986,-208985.7942343796,1.8671020699805098e-20
P2,2*a**(1/2),0.040337646625774486,62489.04451038864,2062.3011679775404
P3,3*a**(2/3),0.013257415019227,-33641.17100554196,5.613560280912982e-05
G1,1 / (2*(1 - a)),0.011527366464775559,70946.94841190045,1228.2254644994302
