Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9743596994133352,-8.623839725065908,0.9564968320981682,37339.97813740271
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9743573111997366,-8.58067386591938,0.668800072792886,23095.37434605275
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9742239930509649,-8.637114789664468,0.9218781951842571,48187.89110059498
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9740655413571417,-8.647324106419457,0.9977894234878879,57678.033922168324
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.973743984386105,-8.661943524905297,0.9674209828960498,72888.45228711372
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9729818947394091,-8.684422388113175,0.9997294778690465,114035.98916390396
F3/2,2*(1 - a)**(3/2),0.9705943479634341,-5.814720426920566,0.9424480930433595,263180.09890293493
G3,1 / (4*(1 - a)**3),0.9705943479634337,2.9073602134602825,0.9424480930433086,263180.09890238097
F3/4,4*(1 - a)**(3/4),0.9705943479634332,-11.62944085384113,0.9424480930466118,263180.09890528256
F2,(1 - a)**2,0.9705943479634332,-4.3610403201904235,0.9424480930432338,263180.098902342
F1/A1,(1 - a),0.9705943479634332,-8.722080640380847,0.9424480930425448,263180.0989018675
R2,2*(1 - a)**(1/2),0.970594347963433,-17.44416128076169,0.9424480930432215,263180.09890235524
G2,1 / (3*(1 - a)**2),0.970594347963433,4.361040320190422,0.9424480930427563,263180.0989019108
R3,3*(1 - a)**(2/3),0.970594347963433,-13.08312096057127,0.9424480930287669,263180.09889084834
F1/3,(3/2)*(1 - a)**(1/3),0.9705943479634328,-26.166241921142536,0.9424480930346066,263180.0988961103
G1,1 / (2*(1 - a)),0.9705943479634326,8.722080640380844,0.9424480930434433,263180.09890166565
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9670315421967992,-8.749621427975772,0.9398310073874359,450112.30307906825
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9648021671578781,-8.759466719456427,0.9193343127448982,500526.29314583796
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9639334643743318,-5.623483562625242,0.8994992574150846,541637.21110902
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9467796668216002,-8.272802516426493,0.9345104515578169,231345.04308594318
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9426239453699778,-15.675906657799414,0.7939091001844537,837553.8579317518
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9426239453699776,-15.675906657799414,0.7939091001844535,837553.8579317518
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9207140227035879,-23.467320521384814,0.698928163765183,1004200.7481604735
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.8498948902008774,-36.88997487397911,0.6116008665874917,1324413.64217266
E1,a,0.7601049814015605,-40.61872400328297,0.9487752127587302,-1444290.0740682988
P3,3*a**(2/3),0.7601049814015601,-60.928086004924424,0.9487752127589162,-1444290.0740629819
D1,1 / (2*a),0.7601049814015601,40.61872400328296,0.948775212758595,-1444290.0740718169
P4,4*a**(3/4),0.7601049814015601,-54.15829867104394,0.948775212758558,-1444290.0740680257
P2,2*a**(1/2),0.7601049814015599,-81.23744800656588,0.9487752127588731,-1444290.0740666904
P3/2,(2/3)/a**(1/2),0.7601049814015599,81.23744800656587,0.9487752127588186,-1444290.07406711
E2,a / 2,0.7601049814015599,-40.618724003282956,0.9487752127587131,-1444290.074068787
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.6757700803609212,36.28801495816585,0.9487903765220718,-1444201.0000111342
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.6352259791940867,34.20433785525443,0.9487984222198071,-1444153.841993266
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.6104003346384322,-6.368867214882456,0.9842476413995767,314800.97322707623
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.5198552203107102,28.224161176756283,0.936388357669873,-842599.6134289918
F3,(1 - a)**3,0.489103498850025,-2.745635976396038,0.9666278673261085,-1837542.4786823434
D2,1 / (-np.log(1 - a)),0.07255760417633611,31.929934755570866,0.2142325158473475,-2093845.7836353017
B1,1 / (a - (1 - a)),0.00010404107771262867,-0.010341762501000624,0.8009301208803336,306347.8768997557
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
