,conversion,A,Ea
0,1e-05,17.643420962492158,28788.63696747184
1,0.01001,370152.89205978153,69436.7819277051
2,0.02001,2278039.1351581872,76859.31805938711
3,0.03001,6926425.077923797,81401.62593713899
4,0.04001,15109613.807025587,84587.64323251446
5,0.05001,27750785.06006969,87070.86895929382
6,0.06001,45266770.20897805,89069.55150902185
7,0.07001,68124325.87698033,90739.2196029434
8,0.08001,96144857.0326937,92146.4883030111
9,0.0900099999999999,129296459.32146023,93356.58957314937
10,0.10001,166171019.84319922,94381.48089042648
11,0.11001,205691300.50421557,95252.9891774305
12,0.1200099999999999,252520804.75911394,96090.83187381084
13,0.13001,297253906.81245273,96757.01858583442
14,0.14001,346394989.4531477,97381.94977168088
15,0.15001,398022205.5804711,97949.42981209252
16,0.16001,449878353.42938954,98449.68110224494
17,0.17001,498876464.249307,98871.9629751039
18,0.18001,547073669.8492956,99248.67465639116
19,0.19001,594433949.4293243,99587.81180083317
20,0.20001,640544589.4206663,99892.97644210284
21,0.21001,681918155.8288625,100148.64175028028
22,0.22001,719340429.718847,100366.8673551142
23,0.23001,754105582.4773586,100559.655827601
24,0.24001,785988063.202664,100728.800205371
25,0.25001,814979343.6961627,100876.75291516696
26,0.26001,841314299.9817897,101006.65688001591
27,0.27001,861021380.5023775,101101.2342056266
28,0.28001,878599642.6249541,101183.78601732258
29,0.29001,894375120.3695629,101256.47723871774
30,0.30001,900506141.7210387,101284.3827081182
31,0.31001,908394466.6535625,101320.0084057848
32,0.32001,915563332.4333996,101352.11752836064
33,0.33001,909156393.2512094,101323.43306313832
34,0.34001,909567332.1610785,101325.2789329955
35,0.35001,905382119.2808998,101306.44051941004
36,0.36001,892744277.9505029,101249.02221397744
37,0.37001,889101876.8279727,101232.3225124108
38,0.38001,872460969.0473915,101155.14650102488
39,0.39001,859708384.1855114,101095.00056933497
40,0.40001,843659446.6978471,101018.02706939176
41,0.41001,826147675.5141363,100932.34889076672
42,0.42001,808353179.5044918,100843.40661511484
43,0.43001,789301913.1943827,100745.98575849216
44,0.44001,768476940.265422,100636.76754884496
45,0.45001,748693927.8095477,100530.2372652182
46,0.46001,725974153.5948373,100404.3636705099
47,0.47001,705831306.1714199,100289.42768064929
48,0.48001,683060887.210067,100155.48100549272
49,0.49001,661942281.7880934,100027.198285296
50,0.50001,639254038.4969854,99884.7383965097
51,0.51001,618015395.9364113,99746.72213726808
52,0.52001,595578817.1215794,99595.6712905774
53,0.53001,574769559.7587869,99450.40068895376
54,0.54001,552793494.3239392,99291.15978316354
55,0.55001,532397437.44451314,99137.59849646172
56,0.56001,511431352.8772601,98973.4877525878
57,0.57001,491361966.3236717,98809.96763215364
58,0.5800099999999999,471832211.0261179,98644.3017729013
59,0.5900099999999999,452485006.43115216,98473.28009762516
60,0.6000099999999999,434188076.03148973,98304.6764735044
61,0.6100099999999999,415761077.13344616,98127.53499714972
62,0.62001,398567989.1837077,97955.02708050975
63,0.63001,381243835.64126176,97773.5071950326
64,0.64001,364876446.49931973,97594.26891061982
65,0.65001,348885475.55539507,97411.21261290298
66,0.66001,333464711.2646321,97226.55676094972
67,0.67001,318590741.8205748,97040.17292937772
68,0.68001,304305461.36606526,96852.78578958836
69,0.69001,290233325.498839,96659.38800926978
70,0.70001,277236178.229142,96472.24568936792
71,0.7100099999999999,263899247.15804052,96270.8600782051
72,0.7200099999999999,252092192.83650744,96083.89288068036
73,0.7300099999999999,239650955.35965744,95877.1605070346
74,0.74001,228642847.66747633,95685.08817508754
75,0.75001,217167154.01968804,95474.75119860574
76,0.76001,206537029.93373597,95269.74959195328
77,0.77001,196297710.45353934,95062.05352559053
78,0.78001,185898298.2734493,94839.71209499455
79,0.79001,176937320.2375042,94637.91060934024
80,0.80001,166696285.10458434,94394.37224157872
81,0.81001,158790814.56035668,94195.91365083586
82,0.82001,148909114.20737475,93933.465091083
83,0.83001,141215426.9084791,93716.77331098884
84,0.8400099999999999,132724553.69834387,93463.47831573313
85,0.8500099999999999,124703712.20781574,93208.85695371288
86,0.8600099999999999,116633836.4812313,92935.58539809304
87,0.87001,109238133.77976596,92667.9996880904
88,0.88001,101757833.28545736,92378.25366896592
89,0.89001,93327380.79947887,92024.99922714716
90,0.90001,86079034.92688046,91694.7605430556
91,0.91001,78963395.51942946,91342.32624386648
92,0.92001,71435755.81822027,90933.09665923777
93,0.93001,63766311.28912071,90469.18253553523
94,0.94001,55987466.01726265,89937.77416324148
95,0.95001,48521089.527010486,89353.1333811697
96,0.96001,39809748.33862501,88544.82477918589
97,0.97001,31171564.307728685,87545.68367608033
98,0.98001,21587520.090707228,86045.00074418956
99,0.99001,11425970.822537482,83446.20423543287
