Model,Equation,R2_score,Ea,A
D8,((1 + a)**(-1/3) - 1)**2,0.9947803996532434,207027.48205150192,3087711.25839595
D6,((1 + a)**(1/3) - 1)**2,0.9946006467780838,210318.2029734828,3248495.4132815776
D7,1 + (2*a/3) - (1 + a)**(2/3),0.9944475040441737,211446.8079474573,3304415.8103060913
D1,a**2,0.993986608485725,213802.9539170993,3716857.4135377286
P3/2,a**(3/2),0.9939237367310798,158249.50062812524,1730144.7521897163
F0/R1/P1,a,0.9937901336955883,102696.04733915124,447387.34666211996
P2,a**(1/2),0.9933149104524712,47142.5940501772,-136108.98850842606
G1,1 - (1 - a)**2,0.9933113369970336,98523.72013936234,405118.9307846821
D2,a + (1 - a)*np.log(1 - a),0.9930895504362267,217358.36767418482,3807858.7588625895
F1/3,1 - (1 - a)**(2/3),0.9928139335676968,104635.46478859353,461898.0378472441
P3,a**(1/3),0.9926926239815493,28624.77628718587,-183554.14686410865
D4,1 - (2*a/3) - (1 - a)**(2/3),0.9924454906804121,219015.4765767364,3688510.159566119
P4,a**(1/4),0.9918561885812113,19365.867405690184,-193749.8659870558
R2,1 - (1 - a)**(1/2),0.9917393394415839,105800.13813876708,467630.8094493266
G2,1 - (1 - a)**3,0.991346487661487,95557.88532518804,370606.0005783394
G7,(1 - (1 - a)**(1/2))**(1/2),0.9912259162631827,48694.639449985145,-137541.87148379788
D3,(1 - (1 - a)**(1/3))**2,0.990218034445469,222722.6213638921,3882564.6241108035
R3,1 - (1 - a)**(1/3),0.9899190920156816,107155.88106254757,469354.7179652749
G8,(1 - (1 - a)**(1/3))**(1/2),0.9892281171633408,49372.51091187539,-140002.56435992464
G3,1 - (1 - a)**4,0.9890187279615752,93219.8346664206,342263.07745703164
F3/4,1 - (1 - a)**(1/4),0.9885684544538221,107925.75378880794,466230.2530007428
G6,(-np.log(1 - a))**4,0.9825207626549304,468063.9882773164,22446715.542620353
G5,(-np.log(1 - a))**3,0.9824049338906196,348945.2763982883,11853482.9859034
G4,(-np.log(1 - a))**2,0.9821678595790946,229826.56451926002,4581533.950665359
A2/3,(-np.log(1 - a))**(3/2),0.9819232928864878,170267.20857974575,2190755.412194148
A3/4,(-np.log(1 - a))**(4/3),0.9817980942427219,150414.0899332411,1578211.3766546273
F1/A1,-np.log(1 - a),0.981410299974274,110707.85264023149,629422.4118564593
A3/2,(-np.log(1 - a))**(2/3),0.9805754172876617,71001.61534722212,47951.72608539344
A2,(-np.log(1 - a))**(1/2),0.9796515374874873,51148.49670071736,-106580.52705398882
A5/2,(-np.log(1 - a))**(2/5),0.9786246252580278,39236.625512814535,-157361.2907753848
A3,(-np.log(1 - a))**(1/3),0.9774776773456575,31295.37805421263,-175459.05592067383
A4,(-np.log(1 - a))**(1/4),0.9747357687927881,21368.818730960265,-187468.90578508173
D5,((1 - a)**(-1/3) - 1)**2,0.9614002070243997,239657.47418636276,4821822.45082118
F3/2,(1 - a)**(-1/2) - 1,0.9417869151245684,118501.27775560865,771768.0164428168
B1,np.log(a / (1 - a)),0.8751016771530677,420837.2415068584,17791096.73781807
F2,(1 - a)**(-1) - 1,0.8703545527730769,128098.32657284012,1091714.4838018974
F3,(1 - a)**(-2) - 1,0.7146398649838316,149328.27860675004,1849146.105860778
