temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
30.069,5.886426787747088e-08,6.647953944112852e-11,1.1825066531710276e-16,2.0423741569341035e-08,6.24860773180732e-274,1.057900652548317e-48,1.5933118364322001e-38,8.090266976719978e-09,3.0272683953993673e-16,1.3836099765527822e-19,2.3638942300246175e-09,2.149693510980322e-182,2.3849785940610197e-51,9.261906889626679e-33,4.4391780917231975e-09,6.735199522844873e-13,1.1780251987496185e-13,6.966719561754746e-12,2.260802364705139e-172,1.4370208603032759e-80,1.8010560799212684e-42
31.02392,1.2173631569553552e-07,1.3896922174686093e-10,2.538911343573089e-16,4.1849875362944205e-08,4.842670992150673e-273,2.517535730114982e-48,3.6121372196860565e-38,1.675841016606281e-08,6.503896943240828e-16,3.0000389395447344e-19,4.8540369548387636e-09,9.231812623841874e-182,5.65774101808797e-51,2.0502085153736728e-32,9.213388492255693e-09,1.4153680156702995e-12,2.477218703656341e-13,1.44215532329318e-11,8.796771286364544e-172,3.7550293837070525e-80,4.0888840733347705e-42
31.97883,1.8886662970048102e-07,2.1795967082451178e-10,4.097037757163149e-16,6.43619340661647e-08,3.327383617187398e-272,4.5195122814564174e-48,6.179402285510047e-38,2.610640772319724e-08,1.0489011979372028e-15,4.89585068626369e-19,7.479134967186543e-09,3.257511025841347e-181,1.0156848902152606e-50,3.4080220496781664e-32,1.4356134432478417e-08,2.231644914362912e-12,3.90431208728445e-13,2.2408875023478643e-11,2.7654648830824477e-171,7.488395136354257e-80,6.993289823838436e-42
32.93375,2.6058919155402356e-07,3.0418682253505304e-10,5.884709579898173e-16,8.795991767900249e-08,2.2541852392494911e-271,7.278088666582408e-48,9.436944882844722e-38,3.6219241444097206e-08,1.5053565106810135e-15,7.117609013997485e-19,1.0247895059812062e-08,1.0972668718623485e-180,1.6341241344796638e-50,5.053584147543878e-32,1.9884167527831832e-08,3.1296715174088953e-12,5.472768494762514e-13,3.097305894334276e-11,8.219248786565462e-171,1.3510884570992108e-79,1.0681939212746259e-41
33.88866,3.371544875024502e-07,3.9826395676262786e-10,7.929750497735126e-16,1.1268559254413519e-07,1.5251289321408717e-270,1.1067783409255493e-47,1.357388214361082e-37,4.7096911328762726e-08,2.0292158462911383e-15,9.72518166211619e-19,1.3169024025459426e-08,3.6426094952930365e-180,2.4842900055487337e-50,7.045343735944179e-32,2.5839366816917103e-08,4.1167686938548196e-12,7.202782643783382e-13,4.0114104992524144e-11,2.3969862417449605e-170,2.3187306444391052e-79,1.5365766735904872e-41
34.84358,4.1897999462290617e-07,5.008043533913796e-10,1.0273896039609457e-15,1.3862249134691798e-07,1.0304422795330155e-269,1.627693978699341e-47,1.882188255441124e-37,5.873941737719379e-08,2.6287568917862472e-15,1.2785088341030998e-18,1.6251228656872738e-08,1.2030370679240797e-179,3.65044673135144e-50,9.455237955769372e-32,3.2246859722894924e-08,5.202697602429447e-12,9.101086106911338e-13,4.992076119091777e-11,6.950735080606022e-170,3.8857332911014715e-79,2.1315201234143298e-41
35.79849,5.066501808233948e-07,6.126666042591088e-10,1.2958881734456614e-15,1.6585414677270604e-07,6.950998105420451e-269,2.344120369982062e-47,2.5488261454617184e-37,7.13167231813383e-08,3.3158049143358693e-15,1.6370500732194215e-18,1.9498862350424052e-08,3.972580855076642e-179,5.260495372137113e-50,1.237318823313234e-31,3.9140149476646234e-08,6.39843954670263e-12,1.1194605174403518e-12,6.039302753852364e-11,2.012981995542745e-169,6.405935704397166e-79,2.888720877735584e-41
36.75341,6.001650461039158e-07,7.34709301203616e-10,1.6040354954190525e-15,1.944223251641769e-07,4.69420875889873e-268,3.328369711277015e-47,3.3951253108070113e-37,8.482882874119624e-08,4.103367707826486e-15,2.0574546430181516e-18,2.292498529522953e-08,1.3112075352680098e-178,7.472431355272569e-50,1.590710027936854e-31,4.656111511677218e-08,7.716195975085323e-12,1.3496802991388488e-12,7.16196520552367e-11,5.816701613885515e-169,1.047147713329538e-78,3.8460389742703126e-41
37.70832,6.995245904644695e-07,8.671777561785583e-10,1.9573963070725124e-15,2.2436879286400826e-07,3.1719437198965385e-267,4.680875608838788e-47,4.468365034457188e-37,9.936071585274156e-08,5.006818119578485e-15,2.5503656971650803e-18,2.6538304284033272e-08,4.331329093639137e-178,1.051196243413898e-49,2.0182864091036e-31,5.4551635681873934e-08,9.168168335988475e-12,1.6027874275559095e-12,8.364500875100444e-11,1.6852845858654678e-168,1.7028336134076157e-78,5.062968758000899e-41
38.66324,8.055637680593461e-07,1.0119118088363658e-09,2.362230937746358e-15,2.557770825575552e-07,2.144912133543295e-266,6.542245111423801e-47,5.834736312584505e-37,1.1499736631194826e-07,6.0427115236292055e-15,3.128421980638334e-18,3.0347526109579384e-08,1.4275310119891671e-177,1.4687555871690608e-49,2.5353346092526624e-31,6.317871763371336e-08,1.0754356629412088e-11,1.8814745317172476e-12,9.651347163577435e-11,4.856836718342819e-168,2.7571303249869037e-78,6.609821727542891e-41
39.61815,9.19117533042836e-07,1.1701380189453248e-09,2.8261909010787556e-15,2.8873072693017294e-07,1.4454669365203716e-265,9.099954284040618e-47,7.565158069659238e-37,1.3182376191479022e-07,7.225238240582083e-15,3.806923026832487e-18,3.4365710960984037e-08,4.711418645327205e-177,2.0428056399351674e-49,3.1602885207371813e-31,7.239210612596905e-08,1.2511365200589011e-11,2.1877610833921486e-12,1.102694147194939e-10,1.402862261496651e-167,4.461335968361643e-78,8.57313511196157e-41
40.57307,1.0401858854149392e-06,1.343082946273722e-09,3.3576233028567936e-15,3.2331325866721665e-07,9.756115219824108e-265,1.2615130502951165e-46,9.763644728237794e-37,1.5000986625321539e-07,8.585143965077893e-15,4.598507580725665e-18,3.860156563099131e-08,1.5539016022718892e-176,2.832782776769259e-49,3.9201245713910204e-31,8.235931731304566e-08,1.4439194049519247e-11,2.5250128688627532e-12,1.250015860220581e-10,4.049393939611198e-167,7.205395902609104e-78,1.1066489024405126e-40
41.52798,1.169603779329946e-06,1.5319731505898437e-09,3.9669620253143355e-15,3.595664441113639e-07,6.58373696127948e-264,1.7449334750671958e-46,1.2557850352366667e-36,1.6955567932722372e-07,1.0146079231455692e-14,5.529783526482346e-18,4.30855638942056e-08,5.1279319180735294e-176,3.91617999299887e-49,4.8373231177424e-31,9.30803511949432e-08,1.6562246073024697e-11,2.8959225171547762e-12,1.4079873356336186e-10,1.1710406692048044e-166,1.1631997849171457e-77,1.4230506462104653e-40
42.4829,1.308206168942147e-06,1.7368086318936898e-09,4.6625541742384684e-15,3.976155822906475e-07,4.454402893200895e-263,2.409803948472562e-46,1.6103796575880467e-36,1.905461829327892e-07,1.1931694574054537e-14,6.6207067772258855e-18,4.778723197602252e-08,1.6905087165346093e-175,5.405851165314586e-49,5.947852730236474e-31,1.0463896584886397e-07,1.8892722719516312e-11,3.3038558145503586e-12,1.5770523135335265e-10,3.3889842213088984e-166,1.876655367821486e-77,1.8243670460007299e-40
