Model,Equation,R2_score,Ea,A
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.985618551117599,185187.60900835408,995745342872952.8
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.9848674165788517,183162.81493048352,63124113558190.2
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9830017887457294,189131.88144813504,330824708586479.5
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9830017887457294,189131.88144813504,1488711188639147.8
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9820339440324674,-95333.12120742525,3.6845891786359015e-09
R3,3*(1 - a)**(2/3),0.9815887749225525,93990.94295892886,4261486.062428435
D2,1 / (-np.log(1 - a)),0.9806518573936578,179699.3752656178,108714034354067.48
R2,2*(1 - a)**(1/2),0.9801026479763392,91006.4097000995,2792228.8392843846
F3/4,4*(1 - a)**(3/4),0.9788769569200851,95483.20958834358,4835851.959857917
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.9780116983153879,-192979.68654943182,2.103387220833076e-17
D1,1 / (2*a),0.972121368739188,174017.94035017525,44738191822619.24
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.9706568375416401,171507.7192988847,2456322578129.598
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.9697726379488089,170287.17349440887,1743374532960.6306
F1/3,(3/2)*(1 - a)**(1/3),0.9679446548203894,88021.87644127019,1626254.165115493
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.9663096363364987,166625.5360810181,623313581073.9027
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9645236892144645,148783.29214759087,1535962176695.208
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9633684635272358,132508.86459058974,55016535158.2606
F1/A1,(1 - a),0.9597678351297922,99960.00947658758,67001569.06524755
P3/2,(2/3)/a**(1/2),0.9558690962535327,128035.37513689332,4840096184.8363495
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9520032896007202,67411.15436258542,72531.08735468073
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9435722819519966,51136.72680558437,2192.0511741690066
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9347541058542586,207039.08100111858,4.7621807716228104e+16
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.934570640136855,41372.07027138374,255.3288080861472
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.925087391835229,34862.29924858331,58.887710089251954
F0/R1/P1,"np.full_like(a, 1)",0.9068578183358957,82052.80992361139,465454.28709820204
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9049973541394171,26725.085470082755,8.865812627294382
F3/2,2*(1 - a)**(3/2),0.8915030261123927,108913.6092530758,401937888.6541961
F2,(1 - a)**2,0.8107690804433637,117867.2090295639,9644793015.427029
F3,(1 - a)**3,0.667992276760562,135774.40858254,1388356028197.4521
P2,2*a**(1/2),0.6592703284131646,36070.24471032948,33.570772940965036
G1,1 / (2*(1 - a)),0.5033147367313507,64145.61037063519,6466.943876108879
P3,3*a**(2/3),0.3888103230919791,20742.722972568885,1.1737479554779897
P4,4*a**(3/4),0.20094012497407304,13078.962103688566,0.20159905674558842
G2,1 / (3*(1 - a)**2),0.16882800458052966,46238.410817658914,67.38797598815168
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.16649276889146009,2313.4441345811406,0.5737284564779571
B1,1 / (a - (1 - a)),0.12796115154505835,-250967.44381823586,1.5482474797866659e-24
E2,a / 2,0.12314645079009705,-9912.320502952367,0.019370268180446626
E1,a,0.12314645079009696,-9912.320502952365,0.009685134090223329
G3,1 / (4*(1 - a)**3),0.0384231207347912,28331.211264682664,0.6241848314927374
