Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9911465415264819,-9.874155057660568,0.9883404263505228,62066.53982502266
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9911430572030008,-9.753424233382422,0.9994682055595498,46300.059499809046
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9909753121609532,-9.605015136990389,0.953748662971431,24098.68624921364
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9909128307824565,-10.058534405924771,0.9875820959151236,86716.00925445792
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9898033229807197,-10.374290105534321,0.9944320621414388,127402.51677721328
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9895325290564716,-9.176718524478288,0.9999193207676358,-39356.85767236613
R2,2*(1 - a)**(1/2),0.9842295437693287,-22.068296249631455,0.9501518070349516,113507.87232378291
G3,1 / (4*(1 - a)**3),0.984229543769328,3.678049374938573,0.9501518070404953,113507.87232563939
F3/2,2*(1 - a)**(3/2),0.984229543769328,-7.356098749877146,0.950151807039831,113507.87232543825
R3,3*(1 - a)**(2/3),0.9842295437693276,-16.551222187223587,0.9501518070491639,113507.87232821726
F2,(1 - a)**2,0.9842295437693276,-5.5170740624078585,0.9501518070375441,113507.87232478487
G1,1 / (2*(1 - a)),0.9842295437693276,11.034148124815719,0.9501518070275892,113507.87232136707
F3/4,4*(1 - a)**(3/4),0.9842295437693271,-14.712197499754286,0.9501518070453896,113507.87232624977
F1/A1,(1 - a),0.9842295437693271,-11.034148124815715,0.9501518070399674,113507.87232548892
G2,1 / (3*(1 - a)**2),0.9842295437693271,5.517074062407859,0.9501518070355021,113507.87232437727
F1/3,(3/2)*(1 - a)**(1/3),0.9842295437693269,-33.10244437444714,0.9501518070177416,113507.87231924232
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9726835622086532,-11.720807988907382,0.9279400591674508,207403.30241132746
D1,1 / (2*a),0.9670673927467374,30.07068691001847,0.9413956796284985,-413123.7358121405
E1,a,0.9670673927467369,-30.070686910018463,0.9413956796224666,-413123.73580269987
P2,2*a**(1/2),0.9670673927467365,-60.14137382003692,0.9413956796245111,-413123.7358050348
E2,a / 2,0.9670673927467365,-30.070686910018456,0.9413956796208847,-413123.73580039944
P4,4*a**(3/4),0.9670673927467356,-40.09424921335792,0.9413956796148327,-413123.7357915907
P3,3*a**(2/3),0.9670673927467351,-45.10603036502766,0.9413956796283725,-413123.73581194854
P3/2,(2/3)/a**(1/2),0.9670673927467347,60.14137382003683,0.9413956796358602,-413123.7358233837
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.9666163649532896,30.516756998920595,0.9413979226437816,-413115.7462276821
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.963977945846684,-12.067466306309385,0.9127771902971336,241471.28587238217
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9576138475217303,-7.9438227528310845,0.900640106312694,272136.715045876
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.9545406538991016,30.373422192518472,0.9413990106700896,-413111.70092302817
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.945155637739961,-7.600709941305343,0.9530300453619553,111203.20357956077
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.8751268412626627,28.521977239771196,0.9413339628206498,-413007.4551876719
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.8117944776693224,-25.894782043288423,0.7518464976255694,540602.2081330285
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.8117944776693219,-25.894782043288394,0.7518464976255672,540602.208133027
D2,1 / (-np.log(1 - a)),0.7054325672451323,37.86083196237526,0.9086109049788847,-724549.8856947909
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.5870584188576683,-5.157353680200675,0.9827060006271306,136391.27970369827
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.584109139172773,-40.21188334071223,0.5637817721985497,753439.9144508506
F3,(1 - a)**3,0.4103374615381422,-2.931231405021139,0.9881059882774375,-469493.7527532334
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.01758450278629667,-10.875467956390583,0.05144236264434488,383678.1323427177
B1,1 / (a - (1 - a)),0.00095498662086023,-0.021798009075628556,0.9409045528691199,147027.88649277049
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
