,conversion,A,Ea
0,1e-05,34.88000174218235,34465.70322361535
1,0.01001,12420441.996046392,88246.34308083158
2,0.02001,111646234.46507694,97485.36223017416
3,0.03001,437039329.6697919,103226.90425955525
4,0.04001,1147356622.6847138,107287.68244093686
5,0.05001,2459512662.5232286,110495.69808350712
6,0.06001,4521691003.04853,113057.57016391304
7,0.07001,7475914937.892273,115172.96223248022
8,0.08001,11428187734.417086,116958.4911436722
9,0.0900099999999999,16556860018.026825,118518.18157508722
10,0.10001,22887854502.326412,119880.50406502347
11,0.11001,29675482212.102234,120973.18126088308
12,0.1200099999999999,38083611512.156975,122022.7263095392
13,0.13001,46985746264.434875,122906.4958935579
14,0.14001,56132883075.32258,123654.86565215031
15,0.15001,65789251792.16357,124322.69735786658
16,0.16001,75756796414.22183,124916.21692943634
17,0.17001,85837661618.63876,125441.82360692072
18,0.18001,95855983168.03983,125906.25452498844
19,0.19001,105661044660.57,126315.99308420828
20,0.20001,115144141318.7783,126677.59717332684
21,0.21001,124231713290.75931,126997.19328213773
22,0.22001,132888222698.0615,127280.59104233664
23,0.23001,139791109258.9175,127493.64838413674
24,0.24001,145137864855.78934,127651.56575080402
25,0.25001,150924977523.65182,127816.06296413032
26,0.26001,156935696971.278,127980.36866193128
27,0.27001,160033951663.44153,128062.61914555258
28,0.28001,162055110040.2402,128115.4217398711
29,0.29001,165708338309.43964,128209.21237257452
30,0.30001,166521105916.74863,128229.79753622756
31,0.31001,166550291464.12024,128230.53485568626
32,0.32001,167696865031.47263,128259.39916024952
33,0.33001,166238498257.60095,128222.65127933816
34,0.34001,165061980761.94345,128192.76971412108
35,0.35001,163383347070.49545,128149.76443019776
36,0.36001,161278509219.63733,128095.21142836838
37,0.37001,158529155457.9646,128022.87157126192
38,0.38001,155794851070.54553,127949.6725197656
39,0.39001,152370909584.75192,127856.1782459454
40,0.40001,149107180406.7685,127765.08199236511
41,0.41001,145699863323.70554,127667.82536061066
42,0.42001,141650597631.9665,127549.24348485158
43,0.43001,138202778124.2201,127445.57156578195
44,0.44001,133791303093.02803,127309.08570965784
45,0.45001,130288843838.5626,127197.4795932763
46,0.46001,125812798236.1658,127050.40029238664
47,0.47001,122280250943.87308,126930.58067420952
48,0.48001,118057770766.92342,126782.73282258886
49,0.49001,114410396150.82674,126650.70127574175
50,0.50001,110500789652.8637,126504.4192614778
51,0.51001,106846454064.6656,126362.93100027586
52,0.52001,103238660921.59103,126218.41556504594
53,0.53001,99692513728.85628,126071.36137910558
54,0.54001,96354244987.40555,125928.06711712564
55,0.55001,93017700607.9613,125779.79776131728
56,0.56001,89903761901.06001,125636.54185289696
57,0.57001,86844371486.75781,125490.8790591152
58,0.5800099999999999,83912797824.30956,125346.40504846133
59,0.5900099999999999,81186058805.7818,125207.42124572136
60,0.6000099999999999,78447498538.03944,125063.05491705984
61,0.6100099999999999,76041965462.89664,124932.02430818135
62,0.62001,73522273649.21953,124790.25378512817
63,0.63001,71403615628.1406,124667.23511741892
64,0.64001,69121089208.35909,124530.54833515556
65,0.65001,67213793252.57991,124412.82443939512
66,0.66001,65225813325.589195,124286.51031252838
67,0.67001,63495024267.755875,124173.36237302076
68,0.68001,61825427456.75837,124061.25335663244
69,0.69001,60248632678.790924,123952.56046846064
70,0.70001,58916467310.89694,123858.49020920838
71,0.7100099999999999,57485447760.30877,123755.0397284852
72,0.7200099999999999,56507967300.42795,123682.88510658283
73,0.7300099999999999,55230020411.65228,123586.64500187206
74,0.74001,54434199906.30038,123525.5813203362
75,0.75001,53523462706.59581,123454.5949294092
76,0.76001,52701506491.17794,123389.48369504012
77,0.77001,52433895321.53462,123368.0655731398
78,0.78001,51440208989.510994,123287.56843074756
79,0.79001,51585096683.20935,123299.40192665008
80,0.80001,51269246998.5661,123273.5624111511
81,0.81001,51121515255.25954,123261.42185620929
82,0.82001,51532590024.44417,123295.11736447336
83,0.83001,51779774424.075806,123315.24972858066
84,0.8400099999999999,52167301323.618,123346.6198919423
85,0.8500099999999999,53083607026.860214,123419.87715689254
86,0.8600099999999999,54122900907.20588,123501.45195665766
87,0.87001,55351348920.84337,123595.87722437564
88,0.88001,57085418078.886986,123725.66018949937
89,0.89001,59622553850.046074,123908.61203960876
90,0.90001,62399145813.033485,124100.11485222045
91,0.91001,65443267927.54643,124300.51332117876
92,0.92001,69746783723.16193,124568.46138256868
93,0.93001,76095688455.36359,124934.9956231418
94,0.94001,83017674967.65247,125301.28429152076
95,0.95001,94981482912.34149,125867.6956343938
96,0.96001,109706578328.56038,126474.07117569775
97,0.97001,130334638165.29762,127198.9581000918
98,0.98001,164468873150.64987,128177.62493048343
99,0.99001,237969769168.17383,129731.86578065935
