Model,Equation,R2_score,Ea,A
D4,1 - (2*a/3) - (1 - a)**(2/3),0.9974929685615197,328923.7196143568,19068978.201591987
R2,1 - (1 - a)**(1/2),0.997437939659205,160707.56541063456,3426523.3017242295
F1/3,1 - (1 - a)**(2/3),0.9973799537496664,158779.29411417453,3354966.23025907
D2,a + (1 - a)*np.log(1 - a),0.9973583215462745,326176.098860414,19262726.413790166
G7,(1 - (1 - a)**(1/2))**(1/2),0.9973264570724824,75770.09100768318,107293.70021014122
D3,(1 - (1 - a)**(1/3))**2,0.9969819367728217,335090.1925379355,20012280.69242341
R3,1 - (1 - a)**(1/3),0.996939583470572,162961.40457133375,3496624.9092119974
G8,(1 - (1 - a)**(1/3))**(1/2),0.9968445131289437,76897.01058803276,114994.43121275544
D1,a**2,0.9966695016614286,320341.9695112654,18661813.229373425
P3/2,a**(3/2),0.996612366116748,237964.63128463202,9416280.333378755
F0/R1/P1,a,0.9964920646442994,155587.29305799864,3223902.0063624694
F3/4,1 - (1 - a)**(1/4),0.9963373059011967,164244.79640511467,3524892.881395207
D7,1 + (2*a/3) - (1 + a)**(2/3),0.9962374207059507,316556.20876467926,17236936.303618785
P2,a**(1/2),0.996076288658299,73209.9548313652,78789.63889758212
D6,((1 + a)**(1/3) - 1)**2,0.9959592820302056,314744.78122686205,16975170.225473847
P3,a**(1/3),0.9955593025990882,45750.842089154066,-301099.5017406633
P4,a**(1/4),0.9949090557103755,32021.285718048523,-376250.6891301937
D8,((1 + a)**(-1/3) - 1)**2,0.9948600253505289,309466.99384097103,16222972.40393101
G6,(-np.log(1 - a))**4,0.9921652746588678,703084.9622223144,103786069.94798058
G1,1 - (1 - a)**2,0.9921544752299765,148802.03911589636,2921028.4921457227
G5,(-np.log(1 - a))**3,0.9921300641174314,525021.875817919,56039858.34309379
G4,(-np.log(1 - a))**2,0.9920584525020862,346958.78941352316,22828380.40653974
A2/3,(-np.log(1 - a))**(3/2),0.9919852106045605,257927.24621132525,11672757.626770232
A3/4,(-np.log(1 - a))**(4/3),0.9919479617040077,228250.06514392598,8761513.334059646
F1/A1,-np.log(1 - a),0.9918336201421959,168895.7030091274,4149597.4502254273
A3/2,(-np.log(1 - a))**(2/3),0.991592596228042,109541.34087432885,1150385.1048722614
A2,(-np.log(1 - a))**(1/2),0.9913336698315114,79864.15980692965,253701.36627777675
A5/2,(-np.log(1 - a))**(2/5),0.9910548901272004,62057.85116649009,-93134.83979803362
A3,(-np.log(1 - a))**(1/3),0.9907540241189059,50186.978739530365,-246294.90676375123
A4,(-np.log(1 - a))**(1/4),0.9900753710783359,35348.388205830735,-355093.9119664644
G2,1 - (1 - a)**3,0.9875987627057069,144040.47336033918,2701650.563560788
G3,1 - (1 - a)**4,0.9833232162245603,140318.45618371063,2530240.628772435
D5,((1 - a)**(-1/3) - 1)**2,0.9751012985785752,363442.20762330946,24617138.2549715
F3/2,(1 - a)**(-1/2) - 1,0.9587733648279133,181971.57672469446,4993655.228238045
B1,np.log(a / (1 - a)),0.9560008391502237,453380.33023908554,40518105.45497579
F2,(1 - a)**(-1) - 1,0.893348209260439,198115.31568610168,6524303.271168421
F3,(1 - a)**(-2) - 1,0.74557808677583,233858.08437211718,10280094.11503841
