temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion
30.278,9.827817757070279e-08,9.972903138529388e-14,1.0854967024670369e-95,4.368623727198785e-31,1.6319083292888702e-08,1.5480493303538557e-12,9.211129719328888e-119,4.8431067045558735e-36,2.327450154443261e-08,7.123817568053386e-12,6.808761514120606e-155,2.411353819115639e-26
31.23291,2.0186868906414628e-07,2.0950827523577242e-13,3.233270926599676e-95,9.677860218626972e-31,3.3572465247584015e-08,3.2203248415385766e-12,2.9616906767163682e-118,1.0816271640174785e-35,4.7763067418791096e-08,1.474954046476508e-11,2.4506535008544386e-154,5.173075287162611e-26
32.18783,3.1110355535050176e-07,3.302654434712988e-13,7.470771422861372e-95,1.613673453300221e-30,5.18224324415397e-08,5.0359382536819875e-12,7.472155377036708e-118,1.8202009364622491e-35,7.34953089481956e-08,2.290954967908078e-11,7.056580407465435e-154,8.346993989246444e-26
33.14274,4.2631479729994045e-07,4.630828666650468e-13,1.5858700487379383e-94,2.3996076740785672e-30,7.113127145220954e-08,6.994889566784089e-12,1.7498429319315054e-117,2.734337326947171e-35,1.0056006010800655e-07,3.165241669441902e-11,1.8996945268625468e-153,1.1994939510472669e-25
34.09766,5.478344357826337e-07,6.091974940435006e-13,3.248943873640645e-94,3.352761941831029e-30,9.156126885704731e-08,9.129031647724591e-12,3.969752365763866e-117,3.8643955580102077e-35,1.2901654354846422e-07,4.1010522499725515e-11,5.003688746535176e-153,1.6158131574244968e-25
35.05257,6.759944916687529e-07,7.70000893486455e-13,6.528653161843189e-94,4.51285101771396e-30,1.1317471123350678e-07,1.1438364496503492e-11,8.887789177558936e-117,5.262842618950716e-35,1.5892398191980892e-07,5.1016248083945954e-11,1.3064060833104424e-152,2.093961948907256e-25
36.00749,8.111269858284693e-07,9.462661582604629e-13,1.3030023786244692e-93,5.921679913470889e-30,1.360338851590417e-07,1.3938814546560644e-11,1.9783550290983372e-116,6.990217343575645e-35,1.9031198654716078e-07,6.173435542497173e-11,3.4041054027343648e-152,2.6421842701762817e-25
36.9624,9.53563939131954e-07,1.1410856614317347e-12,2.588764515503874e-93,7.633595144368402e-30,1.602010772111059e-07,1.664630823133591e-11,4.396616223848399e-116,9.129256138087822e-35,2.2347667068172126e-07,7.321341600622139e-11,8.861127498610437e-152,3.2707850520824955e-25
37.91732,1.1036373724493785e-06,1.3560055895333756e-12,5.13416721086107e-93,9.713394478608972e-30,1.8576971725588e-07,1.957677198426913e-11,9.749396621216513e-116,1.177278521432457e-34,2.584180343234903e-07,8.550200131111347e-11,2.3004326967280075e-151,3.9900692254768185e-25
38.87223,1.2620113275210854e-06,1.591025942565386e-12,1.015531505917116e-92,1.224259768909248e-29,2.1283323515954465e-07,2.2746132238800175e-11,2.1623330802180297e-115,1.5041882239899783e-34,2.95136077472468e-07,9.864868282306654e-11,5.980167779727011e-151,4.814463693550541e-25
39.82715,1.429017825217246e-06,1.8507852801270817e-12,2.011053882778596e-92,1.5315266052241865e-29,2.4145391749955367e-07,2.617031542836889e-11,4.792531772934951e-115,1.9077804493696343e-34,3.336308001286542e-07,1.1273441301444482e-10,1.5542472553234626e-150,5.760456345665138e-25
40.78206,1.6049888864080312e-06,2.135283602218463e-12,3.978879455700122e-92,1.9056814603287714e-29,2.7172519414208765e-07,2.988117441985499e-11,1.063439870407274e-114,2.4062168477135096e-34,3.741983155432505e-07,1.2780776336866688e-10,4.037442631061566e-150,6.844535071182084e-25
41.73698,1.7905885528337841e-06,2.449159468438845e-12,7.868092239940307e-92,2.3592658377460616e-29,3.038027815307811e-07,3.3910562080138166e-11,2.3568020374870824e-114,3.0237129525443833e-34,4.168386237162568e-07,1.4394968635809695e-10,1.0495753184896552e-149,8.087309731803221e-25
