Model,Equation,R2_score,Ea,A
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.99656973215199,336798.2771243568,2.350579401575342e+27
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.99656973215199,336798.2771243568,5.2235097812785345e+26
F3/4,4*(1 - a)**(3/4),0.9954996009443778,168213.49104343134,9761039718148.52
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.993891927258239,-177280.67610833189,4.646391192692013e-15
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.9933999240579265,-355343.7625127277,1.1324250824443313e-29
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9929607423328872,327456.4341923058,5.339863413150694e+26
R3,3*(1 - a)**(2/3),0.9929210943465969,164669.4891577551,5705039417618.016
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9897880133980936,267877.0399026574,1.626291326167372e+22
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9894013638574687,238199.858835258,5.0548117373158605e+19
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.9881900186256051,322622.26958163537,1.9286691942777246e+25
F1/A1,(1 - a),0.988141128458709,178845.49670045936,463537178207957.0
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9851767642282667,119491.1345656609,3778432234.4202995
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9816363070820223,89813.95349826159,9909050.985688576
R2,2*(1 - a)**(1/2),0.9783232048167393,157581.48538640302,1644362538471.903
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9775400842087594,72007.64485782202,266267.1238803548
D2,1 / (-np.log(1 - a)),0.9763744631532881,314380.5604767422,1.2764846451797694e+25
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.972909860665907,60136.772430862366,23099.360991872672
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9659995049325684,379326.29975245276,1.0377109939230464e+31
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9621404866870179,45298.18189716266,1024.450102809573
D1,1 / (2*a),0.9553692374568965,301072.1505256134,1.1451451381666888e+24
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.9501017070923259,295634.6626904663,3.543749347004704e+22
F1/3,(3/2)*(1 - a)**(1/3),0.9493426320461893,150493.48161505087,421292741381.4525
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.9473132104791241,292995.7689975481,1.9053985099563095e+22
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.9378360230458749,285079.08791873883,2.9617902313989834e+21
F3/2,2*(1 - a)**(3/2),0.9318088470785727,200109.50801451603,3.266717505324042e+16
P3/2,(2/3)/a**(1/2),0.9262088321934661,218694.81229898016,1.73377130792722e+17
F2,(1 - a)**2,0.8568087499379159,221373.51932857232,9.208705373619137e+18
F0/R1/P1,"np.full_like(a, 1)",0.8441992387152506,136317.47407234646,23332999250.52916
F3,(1 - a)**3,0.7217603080549567,263901.54195668525,1.829416466354665e+23
P2,2*a**(1/2),0.4848232042669751,53940.13584571314,2355.106689400027
G1,1 / (2*(1 - a)),0.3367287208193777,93789.45144423368,2349019.1493591717
B1,1 / (a - (1 - a)),0.3055251692421923,-407081.0551664583,1.887456929866041e-35
E2,a / 2,0.22427316146015236,-28437.202380920236,0.0019016938058937006
E1,a,0.22427316146015225,-28437.202380920233,0.0009508469029468502
P3,3*a**(2/3),0.19004222096452528,26481.023103502037,9.210347125789024
G2,1 / (3*(1 - a)**2),0.05878119246099406,51261.42881612079,177.36332044617572
P4,4*a**(3/4),0.052424619629146324,12751.466732396471,0.5290729984753328
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.014549881238329385,782.4102960637796,1.6946091239814116
G3,1 / (4*(1 - a)**3),0.0009809570829920006,8733.40618800789,0.011903880041269192
