Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9678227546876494,-8.487462406361574,0.9512475133987889,50829.097363219655
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9659696220198564,-8.301623630933095,0.9874646450431381,64599.535955187566
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9651957359178757,-8.23998661781168,0.9902525495708393,71107.18161177398
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9645245787264322,-8.190820264482081,0.9935142762933518,76328.70667522038
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9634352329142146,-8.117339667669558,0.994526956360004,85002.77337555552
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9614134612617456,-7.995687885202993,0.9981332145738789,111416.30968817699
F3/4,4*(1 - a)**(3/4),0.9566854541814891,-10.341366477364748,0.9544043014821306,118022.83531432928
R3,3*(1 - a)**(2/3),0.9566854541814891,-11.634037287035342,0.9544043014663546,118022.83530909446
F1/3,(3/2)*(1 - a)**(1/3),0.9566854541814891,-23.268074574070685,0.9544043014526656,118022.83530539207
F2,(1 - a)**2,0.9566854541814889,-3.8780124290117803,0.9544043014601888,118022.83530783677
F1/A1,(1 - a),0.9566854541814889,-7.756024858023561,0.9544043014600122,118022.83530759627
R2,2*(1 - a)**(1/2),0.9566854541814889,-15.512049716047121,0.9544043014586625,118022.83530737368
G1,1 / (2*(1 - a)),0.9566854541814889,7.756024858023561,0.9544043014582914,118022.83530646548
F3/2,2*(1 - a)**(3/2),0.9566854541814889,-5.170683238682374,0.9544043014577842,118022.83530687644
G3,1 / (4*(1 - a)**3),0.9566854541814889,2.585341619341187,0.9544043014576751,118022.83530685765
G2,1 / (3*(1 - a)**2),0.9566854541814888,3.8780124290117803,0.9544043014574699,118022.8353070764
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9524856658324565,-9.144179357061207,0.9560345297862899,115618.23282788551
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9511934587947589,-7.522093197831285,0.9041744613657258,174971.54101503192
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9482107587715282,-7.407535248998807,0.8884891403611008,189326.20728988544
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9482005470172111,-4.697708705026627,0.8763813154864696,201863.91036874158
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9310252187890814,-11.860827901540459,0.8054765921324412,292215.5621416305
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9310252187890812,-11.860827901540457,0.8054765921324399,292215.56214163016
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9285581305362318,-16.77449046708216,0.7752767258225383,358296.4265043478
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.8898737343710329,-23.80614228473098,0.7208003498154388,447241.9899680477
P3/2,(2/3)/a**(1/2),0.7660017567853946,174.49388893089457,0.9566956452929908,-1623279.273924899
D1,1 / (2*a),0.7660017567853946,87.24694446544733,0.9566956452928133,-1623279.2739284176
E2,a / 2,0.7660017567853946,-87.24694446544733,0.9566956452927237,-1623279.2739301813
P2,2*a**(1/2),0.7660017567853946,-174.49388893089468,0.9566956452927203,-1623279.2739302022
P4,4*a**(3/4),0.7660017567853946,-116.32925928726307,0.9566956452926856,-1623279.2739283878
E1,a,0.7660017567853945,-87.24694446544731,0.956695645292718,-1623279.2739301028
P3,3*a**(2/3),0.7660017567853937,-130.8704166981709,0.9566956452927244,-1623279.2739326125
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.6980228240370517,-8.037037471978893,0.9818269408765655,140765.10863254164
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.660076190291367,75.61509191126025,0.956736849940104,-1623010.7420771834
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.596183396759049,68.52993450172595,0.9567574002911529,-1622875.905074269
F3,(1 - a)**3,0.49769064717004563,-2.5056406971227236,0.964638419778382,-2057685.813071808
D2,1 / (-np.log(1 - a)),0.45554442470603096,-48.89023068365368,0.32870652849647936,882303.443805109
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.41270114134210856,47.93193171815404,0.9567701695236609,-1622661.3717153624
B1,1 / (a - (1 - a)),0.0002048286321449853,-0.014477950553981305,0.8781983188980008,147747.47715330048
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
