,conversion,A,Ea
0,1e-05,9.32256368804961,29590.870230196928
1,0.01001,3252.3477768733082,57091.18213715365
2,0.02001,6045.506540416087,60003.11745687352
3,0.03001,8513.68819450255,61611.22963582833
4,0.04001,10739.797444985856,62702.28558624543
5,0.05001,12765.027197172692,63513.73012415741
6,0.06001,14631.64309854339,64154.78307714231
7,0.07001,16337.255551689776,64672.69706846835
8,0.08001,17886.85360008017,65098.34184959149
9,0.0900099999999999,19274.45437735387,65449.28669272156
10,0.10001,20591.628605137394,65759.78634839489
11,0.11001,21778.365726697088,66022.97859238436
12,0.1200099999999999,22859.04548741136,66250.46017993796
13,0.13001,23860.001885096503,66451.76353109081
14,0.14001,24806.980983548456,66634.5837187751
15,0.15001,25633.00716153963,66788.44205173755
16,0.16001,26388.209488305474,66924.83021632758
17,0.17001,27052.137258943072,67041.54806440313
18,0.18001,27714.04580618794,67155.09358920103
19,0.19001,28219.160640886792,67239.93259534068
20,0.20001,28717.045914641243,67322.08403562127
21,0.21001,29165.594029924716,67394.88426675551
22,0.22001,29556.9376340567,67457.49131926859
23,0.23001,29891.4355236039,67510.35061223473
24,0.24001,30171.322399948098,67554.12738758187
25,0.25001,30401.807568977787,67589.87346772617
26,0.26001,30588.153503954254,67618.57640074087
27,0.27001,30758.342540009813,67644.63831367259
28,0.28001,30893.281456944394,67665.19990634092
29,0.29001,30991.786940083985,67680.15324798312
30,0.30001,31058.253321056127,67690.21615569858
31,0.31001,31096.338836487215,67695.97254330781
32,0.32001,31109.63381088058,67697.98033561379
33,0.33001,31100.13264217517,67696.54556715446
34,0.34001,31041.320407634495,67687.65458445936
35,0.35001,30964.76641605883,67676.05621081583
36,0.36001,30873.258516659356,67662.15455115563
37,0.37001,30769.119013060623,67646.2837118535
38,0.38001,30654.234228629157,67628.71285837927
39,0.39001,30530.640878744747,67609.7364081705
40,0.40001,30372.177592195472,67585.2933463314
41,0.41001,30199.81237881803,67558.56067796769
42,0.42001,30024.142417400493,67531.15801147399
43,0.43001,29846.042805939673,67503.21218164125
44,0.44001,29657.556125864354,67473.45428419631
45,0.45001,29439.129140784633,67438.73198253199
46,0.46001,29226.788021624685,67404.72927556261
47,0.47001,29023.849496932184,67372.00056224238
48,0.48001,28814.230972723853,67337.95338996049
49,0.49001,28584.744741674735,67300.39403165033
50,0.50001,28361.51428453337,67263.56809236071
51,0.51001,28146.734295516577,67227.86158109698
52,0.52001,27915.85411229225,67189.17330956327
53,0.53001,27685.396356882746,67150.23540156514
54,0.54001,27467.24621953335,67113.07719124766
55,0.55001,27252.989459916847,67076.29376739454
56,0.56001,27033.220472856072,67038.26234083541
57,0.57001,26823.440450018712,67001.6699943328
58,0.5800099999999999,26620.342617695456,66965.96955626406
59,0.5900099999999999,26412.773954295862,66929.20069198933
60,0.6000099999999999,26221.581287748988,66895.07612163757
61,0.6100099999999999,26042.119204941908,66862.81810859113
62,0.62001,25863.13295527726,66830.42344730755
63,0.63001,25697.119222053596,66800.17564382686
64,0.64001,25542.35005643844,66771.8000801106
65,0.65001,25398.14128868546,66745.20550505344
66,0.66001,25270.106554966715,66721.46684508766
67,0.67001,25153.657956425115,66699.77167140492
68,0.68001,25053.95658409428,66681.11666174723
69,0.69001,24971.82823791028,66665.69387278735
70,0.70001,24904.089043746186,66652.934986823
71,0.7100099999999999,24859.999804609342,66644.61198442322
72,0.7200099999999999,24838.403082596724,66640.52964799844
73,0.7300099999999999,24833.21162073085,66639.5477988888
74,0.74001,24857.065873525986,66644.05760413595
75,0.75001,24920.257306108757,66655.98347919142
76,0.76001,24997.55195671483,66670.52994957658
77,0.77001,25097.01910502444,66689.18313186527
78,0.78001,25264.19266568705,66720.36745883322
79,0.79001,25465.50645284501,66757.64754187876
80,0.80001,25701.413059665076,66800.96044249643
81,0.81001,25980.144793520187,66851.6266491124
82,0.82001,26342.22681275533,66916.6380956403
83,0.83001,26762.139125617556,66990.92303826714
84,0.8400099999999999,27248.817937121068,67075.57473728611
85,0.8500099999999999,27814.478548057203,67172.08474880375
86,0.8600099999999999,28476.009165107906,67282.49217641602
87,0.87001,29296.060163894395,67415.84906916172
88,0.88001,30267.93499296599,67569.1442204638
89,0.89001,31412.471869234745,67743.48371088225
90,0.90001,32770.17908799832,67942.23805399342
91,0.91001,34391.84784283573,68169.11278855879
92,0.92001,36515.5631962799,68450.56064577952
93,0.93001,39237.17532156714,68788.21955888893
94,0.94001,42432.777088017945,69155.9888764489
95,0.95001,47135.154062539594,69649.64866614474
96,0.96001,53549.973333596376,70248.98571183518
97,0.97001,63373.57763808379,71040.13281948233
98,0.98001,81697.8877563697,72233.11735494602
99,0.99001,127213.87465217317,74313.2055508757
