Model,Equation,R2_score,Ea,A
G6,(-np.log(1 - a))**4,0.9912184272270674,367901.8661728007,29805122.001007568
G5,(-np.log(1 - a))**3,0.9911729469492135,273962.29978350154,15559655.123743545
G4,(-np.log(1 - a))**2,0.9910786553512111,180022.7333942024,5843381.053487407
A2/3,(-np.log(1 - a))**(3/2),0.9909796921476917,133052.95019955275,2683008.268416105
A3/4,(-np.log(1 - a))**(4/3),0.9909283674143733,117396.35580133632,1880848.9610356083
F1/A1,-np.log(1 - a),0.9907665482282375,86083.16700490327,652794.4357199648
A3/2,(-np.log(1 - a))**(2/3),0.9904036249993843,54769.978208470166,-76379.61712422367
A2,(-np.log(1 - a))**(1/2),0.9899789691425102,39113.383810253705,-258143.2725907943
F3/4,1 - (1 - a)**(1/4),0.989610146711544,81124.03922631816,312682.48216551717
A5/2,(-np.log(1 - a))**(2/5),0.9894786472639325,29719.427171323772,-313690.0404121447
D3,(1 - (1 - a)**(1/3))**2,0.9893893461394542,167521.64940635135,4224526.799383644
A3,(-np.log(1 - a))**(1/3),0.9888846654375377,23456.78941203715,-334349.4598040071
R3,1 - (1 - a)**(1/3),0.9883793427175164,79832.6250109778,298958.92421017674
A4,(-np.log(1 - a))**(1/4),0.9873138573055128,15628.49221292893,-373389.1711163772
D4,1 - (2*a/3) - (1 - a)**(2/3),0.985832210213052,161558.11813084356,3726998.8023552797
G8,(1 - (1 - a)**(1/3))**(1/2),0.9857407870335033,35988.11281329097,-324934.70626452874
R2,1 - (1 - a)**(1/2),0.9856009439211192,77660.26472860025,268142.691221963
D2,a + (1 - a)*np.log(1 - a),0.9838978490137288,159030.95289771014,3826779.000004314
F1/3,1 - (1 - a)**(2/3),0.982789971717341,75900.97768214873,239738.99541393315
G7,(1 - (1 - a)**(1/2))**(1/2),0.9817861171507781,34901.9326721022,-324305.2192015521
D1,a**2,0.980244810420343,154217.49675043253,3576932.6276829233
P3/2,a**(3/2),0.9794092133560436,113699.02271672545,1489577.4321433175
D7,1 + (2*a/3) - (1 + a)**(2/3),0.9787465391802666,151598.22588846672,2946501.9468970946
D6,((1 + a)**(1/3) - 1)**2,0.9779403175336127,150354.1389529668,2853290.8014674257
F0/R1/P1,a,0.9775850551452626,73180.5486830184,193510.41972856264
D5,((1 - a)**(-1/3) - 1)**2,0.9774901956567639,198839.33476382995,7230809.365511199
D8,((1 + a)**(-1/3) - 1)**2,0.9751988198662207,146747.3823094283,2589200.151927728
P2,a**(1/2),0.9705790281766429,32662.074649311264,-326289.191088386
G1,1 - (1 - a)**2,0.9651139023958258,68050.24141409899,105703.28077739927
F3/2,(1 - a)**(-1/2) - 1,0.9606234088973381,101148.52874672362,1238749.6077014385
P3,a**(1/3),0.9602400939614211,19155.916638075512,-361895.11555154505
G2,1 - (1 - a)**3,0.9555237168843447,64835.21617583551,52605.30367491293
G3,1 - (1 - a)**4,0.9475929460355508,62476.25107435707,15166.532149653858
P4,a**(1/4),0.9443746607140809,12402.837632457667,-461330.73075868806
F2,(1 - a)**(-1) - 1,0.8934126600741027,120157.07671924788,2408638.7829189734
B1,np.log(a / (1 - a)),0.8001356945529781,93514.12525269763,898350.3500210511
F3,(1 - a)**(-2) - 1,0.7695719664360805,162003.2974865483,5805269.693426568
