temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
30.586,2.6905659041213295e-07,2.6912777757510947e-12,5.1817712069986896e-14,2.1711076694974974e-09,1.4251692312672014e-269,1.2947167535646528e-25,6.409470792767173e-32,1.2600886809176813e-07,5.481826907422277e-13,2.331251814871446e-16,2.02025413540672e-18,2.6873263762244926e-291,2.807309859307242e-32,1.1702519353283367e-28,5.6357321420089166e-08,1.5981275762832524e-13,4.899973875257395e-15,1.2786192769240105e-29,3.494763787005646e-173,5.471742464475417e-34,5.143014205407465e-44
31.54092,5.521814992771879e-07,5.653430912048566e-12,1.093401263862109e-13,4.4661247097107324e-09,1.1047795242892297e-268,2.807421531964171e-25,1.4192399612555884e-31,2.591954565178775e-07,1.1506807306589147e-12,4.95692673679705e-16,4.296949198218007e-18,2.0828561462408408e-290,6.204971232652248e-32,2.5401897167642867e-28,1.1578280647049837e-07,3.3560679101948305e-13,1.0317030420768084e-14,2.826421559516234e-29,1.359157600745906e-172,1.2070828853792503e-33,1.1684129359857736e-43
32.49583,8.511332664017801e-07,8.912673153461418e-12,1.7351802665637813e-13,6.8958258485280305e-09,7.592762213945543e-268,4.584354219254435e-25,2.3603130538444194e-31,3.995597652783281e-07,1.8135291585472233e-12,7.915637632275716e-16,6.861358472263689e-18,1.4343337226097943e-289,1.0318590825149438e-31,4.146964199397638e-28,1.7843793744756023e-07,5.283809299086503e-13,1.6325038589425394e-14,4.6984670080269865e-29,4.276428437873221e-172,2.009971729412829e-33,1.9972870700611514e-43
33.45075,1.1659118917859095e-06,1.2495218244558655e-11,2.4482680473434173e-13,9.465598449893554e-09,5.133197135769597e-267,6.665149001769055e-25,3.494687646532577e-31,5.478993188547134e-07,2.5427630132043153e-12,1.1250823976118716e-15,9.751009898139554e-18,9.703030264839004e-289,1.5298896682936111e-31,6.032370095204403e-28,2.4456493779577377e-07,7.411316635013583e-13,2.2973244349824876e-14,6.96205137387332e-29,1.2696648223195994e-171,2.983336971837099e-33,3.0508559995184087e-43
34.40566,1.4982759152361912e-06,1.6436017844765614e-11,3.237418524739548e-13,1.2180829877751466e-08,3.476651133066051e-266,9.109257159008451e-25,4.873232555135675e-31,7.042141172470334e-07,3.34542317322688e-12,1.500592524313732e-15,1.3009686073207358e-17,6.565929565837287e-288,2.1328018528428175e-31,8.242845973046817e-28,3.1424454866330517e-07,9.748578215327841e-13,3.0310893670562077e-14,9.702823795222395e-29,3.706312494709463e-171,4.160174044598646e-33,4.389038336459379e-43
35.36058,1.8491046066559334e-06,2.077002361350764e-11,4.116893454367766e-13,1.5052294859990092e-08,2.3487339316331875e-265,1.197612997047304e-24,6.536642832306204e-31,8.68504160455288e-07,4.228550517211606e-12,1.923886073307988e-15,1.6681169594828857e-17,4.434531893981557e-287,2.861320742506442e-31,1.0834118115559563e-27,3.877189934946535e-07,1.2325558932084584e-12,3.843647848882811e-14,1.3018669001408107e-28,1.0748000722258153e-170,5.584476856959583e-33,6.086732346011358e-43
36.31549,2.2183979660451357e-06,2.5540925125066397e-11,5.096200673305133e-13,1.8090768124497755e-08,1.583499008428957e-264,1.533182441338551e-24,8.551047938604456e-31,1.0423644974426643e-06,5.200191763554711e-12,2.4007549745694765e-15,2.0815497717131775e-17,2.9882158321359383e-286,3.7468480135630888e-31,1.387120051914977e-27,4.652304957343177e-07,1.5152247082635585e-12,4.7399244773218515e-14,1.7031942904097826e-28,3.109065560184326e-170,7.30573855683979e-33,8.243802381677402e-43
37.27041,2.607914533210413e-06,3.079241195372357e-11,6.184848018628711e-13,2.1307024399162782e-08,1.0695834246710297e-263,1.9268820255857616e-24,1.0992751097753855e-30,1.2257951282091622e-06,6.2663819510533565e-12,2.9365084972417963e-15,2.5475217007775757e-17,2.0167145717284554e-285,4.814505007035642e-31,1.7433038750883242e-27,5.467790553822978e-07,1.826859585638793e-12,5.729768446092442e-14,2.1889472597292394e-28,8.995767887976353e-170,9.389950008132437e-33,1.098008566766118e-42
38.22532,3.0185335780550733e-06,3.656817367376082e-11,7.392343327415561e-13,2.4706451047929334e-08,7.229522045749215e-263,2.3886202963723393e-24,1.3948229296640942e-30,1.418796052754782e-06,7.443214516499974e-12,3.5398345362872014e-15,3.0722874034420456e-17,1.3635658850895362e-284,6.108254069714147e-31,2.160786609159822e-27,6.331720839202568e-07,2.1694581848045153e-12,6.82302894891369e-14,2.777479194849286e-28,2.5985237897300175e-169,1.1914100552046222e-32,1.445536516956758e-42
39.18024,3.452013640385732e-06,4.2920637774316163e-11,8.737702273819808e-13,2.8305210162629904e-08,4.8781770732312126e-262,2.9296269398261406e-24,1.75243070484785e-30,1.6221647955611165e-06,8.740747857889834e-12,4.220386308330419e-15,3.663977933502342e-17,9.204571226858613e-284,7.672057548388651e-31,2.6483915822132956e-27,7.244095813481947e-07,2.5460169949662566e-12,8.034479776364261e-14,3.487143482520029e-28,7.516528266113229e-169,1.4966178007105373e-32,1.8869369594402726e-42
