Model,Equation,R2_score,Ea,A
F2,(1 - a)**2,0.9971578056987314,729807.4949770548,3.3030145002639565e+56
F3/2,2*(1 - a)**(3/2),0.9884637659601789,552021.7428329207,7.822564794168113e+41
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9725612336445099,1031435.1644280192,4.149765987839822e+77
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.971565941132037,-558633.0777843826,1.8798548116789514e-42
F3,(1 - a)**3,0.9571806661287273,1085378.9992653225,1.4722213490546036e+85
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.9563765601136488,-1025067.6120209682,2.304839282062955e-77
B1,1 / (a - (1 - a)),0.9154340009268146,-662344.1919537823,7.404365802035198e-52
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.8870201153168318,607453.2578070791,3.665644188607992e+45
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.8797767508256013,-92198.54354779788,1.362873186186477e-07
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.8793980050126817,529714.1687676487,4.7162199580293715e+39
F1/A1,(1 - a),0.8536315740089808,374235.990688787,7.41050576121569e+27
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.7867423320412822,218757.81260992537,1.0350209112988676e+16
E1,a,0.7830325367175306,-355763.89111626416,4.2277702467401824e-29
E2,a / 2,0.7830325367175306,-355763.89111626416,8.45554049348038e-29
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.7742251358593342,675863.6601397668,9.310242131303839e+48
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.7742251358593342,675863.6601397669,4.18960895908682e+49
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.6948100199451216,141018.72357049465,11235868679.16852
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.690350950136239,601196.3094115962,7.976562128406081e+43
F3/4,4*(1 - a)**(3/4),0.6642734260873085,285343.11461672,1.2750352752524011e+20
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.6280320995699813,557339.8253769956,2.625871273674566e+39
R3,3*(1 - a)**(2/3),0.5772592347943801,255712.155926031,6.966891561426984e+17
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.5742380838080029,94375.27014683603,2818735.998067205
P4,4*a**(3/4),0.5713246278572229,-262156.7967370682,8.369891857617179e-23
G3,1 / (4*(1 - a)**3),0.5635222068803705,-1048050.0264642849,7.510300540563479e-87
D2,1 / (-np.log(1 - a)),0.5151685885586184,485099.02063710365,1.8080382587080917e+34
P3,3*a**(2/3),0.48004771010755537,-230954.431944003,2.2244094771330212e-20
G2,1 / (3*(1 - a)**2),0.47332811812204445,-692478.5221760164,2.51062131109733e-58
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.4278770292001185,63279.634531063755,10842.056412997816
R2,2*(1 - a)**(1/2),0.38028325990928785,196450.23854465297,17550380559950.223
D1,1 / (2*a),0.37610500966149024,393092.8639173024,1.3076425808805764e+27
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.3486010235850248,370583.7456775461,2.0923017214531565e+24
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.335122153032595,359744.86274461815,2.714230582548584e+23
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.29379539718247605,327228.21394588903,5.925350174764504e+20
P2,2*a**(1/2),0.28505754851173426,-168549.70235787253,1.3256177250827697e-15
G1,1 / (2*(1 - a)),0.2812724481934221,-336907.0178877488,7.460236284750568e-30
F1/3,(3/2)*(1 - a)**(1/3),0.19056114220930878,137188.32116327505,392990003.05253327
P3/2,(2/3)/a**(1/2),0.18899931832011785,205878.67515891072,15639159084698.152
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.13007443324593249,24410.09001134831,9.782977609843165
F0/R1/P1,"np.full_like(a, 1)",0.002890107474089013,18664.48640051895,0.16625902076003393
