Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9846172859264047,-9.673039950340335,0.9755785826536254,243684.63641504478
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9846099504083379,-10.025383494943819,0.9999641812730272,362895.2363986186
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9845326819331378,-9.472422149538744,0.9581790081553643,188663.54525210243
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9844442059210786,-9.342914356172287,0.9898119214208431,148425.64421119378
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9843012424526109,-9.185592586447695,0.9830432351666126,116491.6825214933
G3,1 / (4*(1 - a)**3),0.9838712226209967,3.601731261297337,0.9274475830993252,684062.7124282577
F3/4,4*(1 - a)**(3/4),0.983871222620996,-14.406925045189341,0.9274475831000791,684062.7124276998
G1,1 / (2*(1 - a)),0.983871222620996,10.805193783892005,0.9274475830995655,684062.7124252621
R2,2*(1 - a)**(1/2),0.983871222620996,-21.610387567784006,0.9274475830982066,684062.7124196249
F1/A1,(1 - a),0.983871222620996,-10.805193783892005,0.9274475830979979,684062.7124227001
G2,1 / (3*(1 - a)**2),0.983871222620996,5.402596891946002,0.9274475830974197,684062.7124182644
F3/2,2*(1 - a)**(3/2),0.983871222620996,-7.203462522594672,0.9274475830969316,684062.7124192812
F1/3,(3/2)*(1 - a)**(1/3),0.983871222620996,-32.41558135167602,0.9274475830952738,684062.7124088972
F2,(1 - a)**2,0.9838712226209956,-5.4025968919460015,0.9274475830981178,684062.7124223345
R3,3*(1 - a)**(2/3),0.9838712226209956,-16.207790675838005,0.9274475830974,684062.7124180599
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9836906440856463,-8.742028412892568,0.04316073619425954,-7643.193743174798
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9817445152397949,-11.70149084573338,0.9728556531941018,1323232.2555476015
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9799406599484538,-12.200312674261422,0.9689260393965996,1556003.4990975861
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9781701719930369,-8.117529070410278,0.963557684164345,1769554.8228600428
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9461248651806772,-7.231625821009972,0.9666383370430046,569746.9214088671
P3/2,(2/3)/a**(1/2),0.9391580060285822,52.75116678615256,0.9479540169035939,-1668238.4526577157
E1,a,0.9391580060285818,-26.375583393076273,0.9479540169037479,-1668238.4526605958
D1,1 / (2*a),0.9391580060285818,26.375583393076283,0.9479540169036789,-1668238.4526569822
E2,a / 2,0.9391580060285818,-26.37558339307628,0.9479540169036692,-1668238.4526623257
P2,2*a**(1/2),0.9391580060285817,-52.75116678615254,0.947954016903862,-1668238.4526573985
P4,4*a**(3/4),0.9391580060285815,-35.16744452410169,0.9479540169035617,-1668238.4526630084
P3,3*a**(2/3),0.9391580060285812,-39.563375089614404,0.9479540169038984,-1668238.4526465666
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.935448786534001,-31.768736459081786,0.8946774561329386,4166406.227722326
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9354487865340008,-31.768736459081776,0.894677456132939,4166406.227722328
D2,1 / (-np.log(1 - a)),0.9124968246133383,42.50318687228359,0.9187756043456351,-3385973.7933306945
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.8929746658140206,25.21457617820195,0.9479592286819494,-1668202.1907871305
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.8664042870290101,24.536709886852346,0.9479620434337651,-1668182.9788166785
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.785666771706977,-64.41375525965877,0.6828425393227595,6775925.014963875
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.7752842189329786,22.152828641343138,0.9479982317672001,-1668281.5738461106
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.526593412767309,-4.7915666253050215,0.977370956636413,860909.1557350038
F3,(1 - a)**3,0.47438152306128384,-3.13325976960144,0.9692765216987923,-2164929.3022136483
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.024897067571967267,27.473473428986384,0.029582990720391725,-3042024.019474804
B1,1 / (a - (1 - a)),0.0005093611965762783,-0.026925967589053502,0.8594084648970871,809614.7917596542
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
