Model,Differential Form,Integral Form
Power law (P2),2*a**(1/2),a**(1/2)
Power law (P3),3*a**(2/3),a**(1/3)
Power law (P4),4*a**(3/4),a**(1/4)
Avarami-Erofe’ev (A2),2*(1 - a)*(-np.log(1 - a))**(1/2),(-np.log(1 - a))**(1/2)
Avarami-Erofe’ev (A3),3*(1 - a)*(-np.log(1 - a))**(2/3),(-np.log(1 - a))**(1/3)
Avarami-Erofe’ev (A4),4*(1 - a)*(-np.log(1 - a))**(3/4),(-np.log(1 - a))**(1/4)
Prout–Tompkins (B1),a*(1 - a)*np.log(a/(1 - a)),np.log(a/(1 - a))
Contracting area (R2),2*(1 - a)**(1/2),1-(1 - a)**(1/2)
Contracting volume (R3),3*(1 - a)**(2/3),1-(1 - a)**(1/3)
1-D diffusion (D1),1/2*a,a**2
2-D diffusion (D2),-(np.log(1 - a))**(-1),((1 - a)*np.log(1 - a)) + a
3-D diffusion-Jander eqn.(D3),3*(1 - a)**(2/3)/(2*(1-(1-a)**(1/3))),(1-(1 - a)**(1/3))**2
Ginstling–Brounshtein (D4),3/2*((1 - a)**(-1/3)-1),1-(2*a/3)-(1 - a)**(2/3)
Zero-order (F0/R1),1,a
First-order (F1),(1 - a),-np.log(1 - a)
Second-order (F2),(1 - a)**2,(1 - a)**(-1)-1
Third-order (F3),(1 - a)**3,0.5*((1 - a)**(-2)-1)
