temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
30.661;100;100;100;0;0;0;8.71E-07;4.22E-22;1.95E-22;4.31E-06;6.26E-180;2.59E-50;4.28E-39;5.18E-06;5.37E-07;6.59E-16;1.11E-16;1.99E-08;2.39E-146;5.92E-51;7.43E-32;5.57E-07;1.65E-07;1.52E-19;7.50E-18;1.49E-10;1.33E-174;2.17E-54;1.06E-41;1.65E-07
31.61591;99.65838;100.38947;99.61572;-0.00226197;-0.004251665;-0.005613036;9.22E-07;5.11E-22;2.36E-22;4.48E-06;2.07E-179;3.56E-50;5.44E-39;5.40E-06;5.70E-07;7.56E-16;1.28E-16;2.10E-08;6.22E-146;8.14E-51;8.99E-32;5.91E-07;1.75E-07;1.78E-19;8.59E-18;1.60E-10;3.85E-174;2.98E-54;1.34E-41;1.75E-07
32.57083;99.66054;100.39353;99.62108;-0.010765412;0.008974668;-0.005801594;9.75E-07;6.19E-22;2.85E-22;4.65E-06;6.81E-179;4.90E-50;6.90E-39;5.63E-06;6.05E-07;8.66E-16;1.46E-16;2.22E-08;1.62E-145;1.12E-50;1.09E-31;6.27E-07;1.86E-07;2.09E-19;9.85E-18;1.71E-10;1.11E-173;4.09E-54;1.71E-41;1.86E-07
33.52574;99.67082;100.38496;99.62662;-0.000240858;-0.010796716;-0.005822477;1.03E-06;7.49E-22;3.45E-22;4.83E-06;2.25E-178;6.74E-50;8.77E-39;5.86E-06;6.42E-07;9.93E-16;1.68E-16;2.35E-08;4.20E-145;1.54E-50;1.32E-31;6.66E-07;1.97E-07;2.45E-19;1.13E-17;1.83E-10;3.22E-173;5.63E-54;2.17E-41;1.97E-07
34.48066;99.67105;100.39527;99.63218;-0.003571017;0.002230577;-0.007100146;1.09E-06;9.07E-22;4.18E-22;5.02E-06;7.42E-178;9.26E-50;1.11E-38;6.11E-06;6.82E-07;1.14E-15;1.92E-16;2.49E-08;1.09E-144;2.12E-50;1.60E-31;7.07E-07;2.09E-07;2.88E-19;1.29E-17;1.96E-10;9.30E-173;7.74E-54;2.75E-41;2.09E-07
35.43557;99.67446;100.39314;99.63896;-0.011728731;0.00211536;-0.011445985;1.15E-06;1.10E-21;5.06E-22;5.22E-06;2.45E-177;1.27E-49;1.41E-38;6.37E-06;7.24E-07;1.30E-15;2.20E-16;2.63E-08;2.83E-144;2.91E-50;1.93E-31;7.50E-07;2.22E-07;3.37E-19;1.48E-17;2.10E-10;2.69E-172;1.06E-53;3.49E-41;2.22E-07
36.39049;99.68566;100.39112;99.64989;-0.00344831;-0.003806889;-0.005520346;1.22E-06;1.33E-21;6.12E-22;5.42E-06;8.07E-177;1.75E-49;1.79E-38;6.64E-06;7.68E-07;1.49E-15;2.52E-16;2.79E-08;7.36E-144;4.00E-50;2.34E-31;7.96E-07;2.36E-07;3.95E-19;1.70E-17;2.25E-10;7.76E-172;1.46E-53;4.43E-41;2.36E-07
37.3454;99.68565;100.40139;99.64367;-0.001950585;-0.001254705;-0.003732176;1.29E-06;1.61E-21;7.41E-22;5.63E-06;2.66E-176;2.41E-49;2.28E-38;6.92E-06;8.15E-07;1.71E-15;2.89E-16;2.95E-08;1.91E-143;5.50E-50;2.83E-31;8.45E-07;2.50E-07;4.64E-19;1.95E-17;2.40E-10;2.24E-171;2.01E-53;5.63E-41;2.51E-07
38.30032;99.69633;100.40653;99.64947;-0.00237745;-0.002374201;-0.00215813;1.37E-06;1.95E-21;8.97E-22;5.85E-06;8.79E-176;3.31E-49;2.89E-38;7.22E-06;8.65E-07;1.96E-15;3.31E-16;3.12E-08;4.97E-143;7.56E-50;3.42E-31;8.97E-07;2.66E-07;5.44E-19;2.23E-17;2.57E-10;6.48E-171;2.76E-53;7.15E-41;2.66E-07
39.25523;99.69003;100.41629;99.65626;-0.003575234;-4.57E-05;-0.001307624;1.44E-06;2.36E-21;1.09E-21;6.08E-06;2.90E-175;4.55E-49;3.67E-38;7.52E-06;9.19E-07;2.25E-15;3.80E-16;3.30E-08;1.29E-142;1.04E-49;4.14E-31;9.52E-07;2.82E-07;6.37E-19;2.56E-17;2.76E-10;1.87E-170;3.80E-53;9.08E-41;2.82E-07
