temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_reaction_7;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_reaction_7;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_reaction_7;rate_10_diff_cumulative
29.476;100;100;100;0;0;0;3.18E-06;4.98E-12;5.72E-13;2.17E-14;9.51E-11;3.21E-135;1.82E-36;3.39E-38;3.26E-06;3.48E-07;8.93E-12;7.72E-16;5.06E-13;3.07E-10;5.23E-183;2.02E-39;3.97E-33;1.74E-04;4.12E-07;9.06E-13;1.67E-13;1.75E-11;2.45E-18;2.18E-133;1.64E-42;8.68E-44;7.44E-06
30.43091;100;100;99.33375;0.469683324;-0.314214803;-0.011330792;3.38E-06;5.61E-12;6.44E-13;2.44E-14;1.03E-10;8.34E-135;2.31E-36;4.30E-38;3.49E-06;3.75E-07;9.93E-12;8.85E-16;5.56E-13;3.29E-10;1.73E-182;2.57E-39;4.81E-33;1.92E-04;4.41E-07;1.01E-12;1.86E-13;1.89E-11;2.76E-18;4.84E-133;2.08E-42;1.10E-43;8.50E-06
31.38583;99.55149;100.30005;99.34457;0.012200103;-0.01897561;-0.013414877;3.61E-06;6.32E-12;7.26E-13;2.75E-14;1.11E-10;2.17E-134;2.93E-36;5.46E-38;3.74E-06;4.04E-07;1.10E-11;1.01E-15;6.12E-13;3.52E-10;5.69E-182;3.26E-39;5.82E-33;2.11E-04;4.72E-07;1.12E-12;2.07E-13;2.05E-11;3.11E-18;1.07E-132;2.65E-42;1.40E-43;9.71E-06
32.34074;99.53984;100.31817;99.35738;0.005602564;0.003539564;0.003989863;3.84E-06;7.12E-12;8.18E-13;3.10E-14;1.21E-10;5.63E-134;3.73E-36;6.93E-38;4.01E-06;4.34E-07;1.23E-11;1.16E-15;6.73E-13;3.77E-10;1.88E-181;4.14E-39;7.04E-33;2.32E-04;5.05E-07;1.25E-12;2.30E-13;2.22E-11;3.51E-18;2.38E-132;3.36E-42;1.78E-43;1.11E-05
33.29566;99.53449;100.31479;99.35357;0.008576725;-0.001487051;-0.001120524;4.10E-06;8.02E-12;9.22E-13;3.49E-14;1.31E-10;1.46E-133;4.73E-36;8.80E-38;4.31E-06;4.68E-07;1.37E-11;1.33E-15;7.41E-13;4.04E-10;6.20E-181;5.26E-39;8.52E-33;2.55E-04;5.41E-07;1.38E-12;2.56E-13;2.40E-11;3.95E-18;5.27E-132;4.26E-42;2.25E-43;1.27E-05
34.25057;99.5263;100.31621;99.35464;0.002356218;-0.00845097;-0.004021279;4.37E-06;9.04E-12;1.04E-12;3.93E-14;1.42E-10;3.80E-133;6.01E-36;1.12E-37;4.64E-06;5.03E-07;1.52E-11;1.53E-15;8.15E-13;4.32E-10;2.04E-180;6.67E-39;1.03E-32;2.81E-04;5.79E-07;1.54E-12;2.84E-13;2.60E-11;4.45E-18;1.17E-131;5.41E-42;2.86E-43;1.45E-05
35.20549;99.52405;100.32428;99.35848;0.001917938;-0.005210227;-0.003653595;4.65E-06;1.02E-11;1.17E-12;4.43E-14;1.53E-10;9.88E-133;7.63E-36;1.42E-37;5.00E-06;5.42E-07;1.69E-11;1.75E-15;8.97E-13;4.63E-10;6.74E-180;8.47E-39;1.25E-32;3.09E-04;6.20E-07;1.71E-12;3.16E-13;2.81E-11;5.02E-18;2.59E-131;6.87E-42;3.63E-43;1.66E-05
36.1604;99.52423;100.3224;99.36489;-0.034678706;0.020208444;-0.002060954;4.96E-06;1.15E-11;1.32E-12;4.99E-14;1.66E-10;2.57E-132;9.68E-36;1.80E-37;5.40E-06;5.83E-07;1.88E-11;2.01E-15;9.87E-13;4.95E-10;2.23E-179;1.08E-38;1.51E-32;3.39E-04;6.63E-07;1.90E-12;3.51E-13;3.05E-11;5.66E-18;5.73E-131;8.73E-42;4.61E-43;1.89E-05
37.11532;99.52654;100.32565;99.37652;0.00036489;-0.002974687;-0.002318647;5.29E-06;1.29E-11;1.49E-12;5.63E-14;1.80E-10;6.67E-132;1.23E-35;2.29E-37;5.84E-06;6.27E-07;2.09E-11;2.30E-15;1.09E-12;5.30E-10;7.34E-179;1.37E-38;1.83E-32;3.73E-04;7.10E-07;2.12E-12;3.91E-13;3.30E-11;6.37E-18;1.27E-130;1.11E-41;5.86E-43;2.16E-05
38.07023;99.53074;100.33722;99.37138;0.000814095;-0.003941506;-0.003161549;5.63E-06;1.46E-11;1.67E-12;6.34E-14;1.95E-10;1.73E-131;1.56E-35;2.90E-37;6.34E-06;6.75E-07;2.32E-11;2.64E-15;1.19E-12;5.68E-10;2.42E-178;1.73E-38;2.21E-32;4.10E-04;7.60E-07;2.35E-12;4.34E-13;3.57E-11;7.18E-18;2.82E-130;1.41E-41;7.44E-43;2.47E-05
