temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
30.278,100,100,100,0.561518887,-0.502759422,0.394696882,2.96E-06,6.45E-12,3.74E-95,2.09E-30,2.96E-06,5.24E-07,9.72E-11,3.39E-118,2.40E-35,5.24E-07,7.86E-07,4.40E-10,2.72E-154,1.17E-25,7.87E-07
31.23291,99.4638,100.48009,99.6231,0.276486834,-0.260972138,0.192903043,3.12E-06,7.10E-12,7.40E-95,2.54E-30,3.12E-06,5.54E-07,1.05E-10,7.51E-118,2.96E-35,5.54E-07,8.27E-07,4.71E-10,7.07E-154,1.34E-25,8.27E-07
32.18783,99.47196,100.49841,99.63159,-0.002523753,-0.008995512,-0.009650078,3.29E-06,7.81E-12,1.46E-94,3.09E-30,3.29E-06,5.86E-07,1.14E-10,1.66E-117,3.66E-35,5.86E-07,8.69E-07,5.04E-10,1.84E-153,1.54E-25,8.70E-07
33.14274,99.46862,100.49727,99.64153,0.002387653,-0.000696387,-0.0100166,3.47E-06,8.59E-12,2.89E-94,3.76E-30,3.47E-06,6.20E-07,1.23E-10,3.69E-117,4.53E-35,6.20E-07,9.14E-07,5.40E-10,4.77E-153,1.77E-25,9.15E-07
34.09766,99.4674,100.49974,99.65072,-0.000544561,-0.001780259,-0.011414638,3.66E-06,9.45E-12,5.73E-94,4.56E-30,3.66E-06,6.56E-07,1.34E-10,8.17E-117,5.60E-35,6.56E-07,9.61E-07,5.78E-10,1.24E-152,2.02E-25,9.62E-07
35.05257,99.46966,100.50067,99.66333,-0.001712198,0.002204368,-0.010927686,3.86E-06,1.04E-11,1.13E-93,5.55E-30,3.86E-06,6.94E-07,1.45E-10,1.81E-116,6.93E-35,6.94E-07,1.01E-06,6.18E-10,3.22E-152,2.32E-25,1.01E-06
36.00749,99.47067,100.49553,99.67159,-0.003817108,0.002288146,-0.003293459,4.07E-06,1.14E-11,2.24E-93,6.74E-30,4.07E-06,7.34E-07,1.57E-10,4.01E-116,8.56E-35,7.34E-07,1.06E-06,6.62E-10,8.38E-152,2.66E-25,1.06E-06
36.9624,99.47695,100.4963,99.66962,-0.008068773,-0.003958451,-0.002801271,4.29E-06,1.26E-11,4.43E-93,8.19E-30,4.29E-06,7.76E-07,1.70E-10,8.90E-116,1.06E-34,7.77E-07,1.12E-06,7.09E-10,2.18E-151,3.05E-25,1.12E-06
37.91732,99.48608,100.50309,99.67694,-0.003445301,-0.013079729,-0.006576496,4.52E-06,1.39E-11,8.77E-93,9.95E-30,4.52E-06,8.21E-07,1.84E-10,1.97E-115,1.31E-34,8.22E-07,1.18E-06,7.59E-10,5.65E-151,3.49E-25,1.18E-06
38.87223,99.48353,100.52128,99.68218,0.002136319,-0.003220265,-0.005712549,4.77E-06,1.52E-11,1.73E-92,1.21E-29,4.77E-06,8.69E-07,1.99E-10,4.37E-115,1.62E-34,8.69E-07,1.24E-06,8.12E-10,1.47E-150,4.00E-25,1.24E-06
39.82715,99.482,100.50924,99.68785,0.003052635,0.01393842,-0.002937419,5.03E-06,1.68E-11,3.43E-92,1.47E-29,5.03E-06,9.19E-07,2.15E-10,9.68E-115,2.00E-34,9.19E-07,1.30E-06,8.70E-10,3.82E-150,4.59E-25,1.30E-06
40.78206,99.4777,100.49466,99.68779,0.001691265,0.006272857,-0.001544632,5.30E-06,1.84E-11,6.78E-92,1.79E-29,5.30E-06,9.72E-07,2.33E-10,2.15E-114,2.47E-34,9.72E-07,1.37E-06,9.31E-10,9.92E-150,5.26E-25,1.37E-06
41.73698,99.47877,100.49726,99.6908,-0.000570729,-0.001460856,-0.000141358,5.59E-06,2.03E-11,1.34E-91,2.17E-29,5.59E-06,1.03E-06,2.53E-10,4.76E-114,3.06E-34,1.03E-06,1.44E-06,9.97E-10,2.58E-149,6.03E-25,1.44E-06
42.69189,99.47879,100.49745,99.68806,-0.005503079,0.000785405,0.002534259,5.90E-06,2.23E-11,2.65E-91,2.64E-29,5.90E-06,1.09E-06,2.74E-10,1.05E-113,3.78E-34,1.09E-06,1.51E-06,1.07E-09,6.70E-149,6.91E-25,1.51E-06
43.64681,99.48928,100.49576,99.68596,-0.000706815,0.002136318,-0.000507913,6.22E-06,2.46E-11,5.25E-91,3.20E-29,6.22E-06,1.15E-06,2.96E-10,2.34E-113,4.68E-34,1.15E-06,1.59E-06,1.14E-09,1.74E-148,7.92E-25,1.59E-06
44.60172,99.48014,100.49337,99.68903,0.009330675,-0.003078779,-0.002193918,6.55E-06,2.70E-11,1.04E-90,3.89E-29,6.55E-06,1.22E-06,3.21E-10,5.18E-113,5.78E-34,1.22E-06,1.67E-06,1.22E-09,4.52E-148,9.08E-25,1.67E-06
45.55664,99.47146,100.50164,99.69015,-0.001434738,-0.005969104,-0.004759605,6.91E-06,2.97E-11,2.05E-90,4.73E-29,6.91E-06,1.29E-06,3.47E-10,1.15E-112,7.15E-34,1.29E-06,1.76E-06,1.31E-09,1.18E-147,1.04E-24,1.76E-06
46.51155,99.48288,100.50477,99.69812,-0.006262367,-0.00547168,-0.005293681,7.29E-06,3.27E-11,4.06E-90,5.75E-29,7.29E-06,1.36E-06,3.76E-10,2.54E-112,8.84E-34,1.36E-06,1.85E-06,1.40E-09,3.05E-147,1.19E-24,1.85E-06
47.46647,99.48342,100.51209,99.70026,-0.003340626,-0.004246433,0.00013615,7.69E-06,3.60E-11,8.04E-90,6.99E-29,7.69E-06,1.44E-06,4.07E-10,5.63E-112,1.09E-33,1.44E-06,1.94E-06,1.50E-09,7.94E-147,1.37E-24,1.94E-06
48.42138,99.48926,100.51288,99.69786,-0.001157197,-0.002052532,-0.002769852,8.10E-06,3.96E-11,1.59E-89,8.49E-29,8.10E-06,1.52E-06,4.41E-10,1.25E-111,1.35E-33,1.52E-06,2.04E-06,1.61E-09,2.06E-146,1.57E-24,2.04E-06
49.3763,99.48563,100.51601,99.70555,0.000193716,0.001968789,-0.005167984,8.55E-06,4.36E-11,3.14E-89,1.03E-28,8.55E-06,1.61E-06,4.78E-10,2.77E-111,1.67E-33,1.61E-06,2.15E-06,1.72E-09,5.36E-146,1.80E-24,2.15E-06
