temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
30.586;100;100;100;0;0;0;3.06E-06;3.08E-11;1.09E-12;4.03E-08;3.91E-270;1.96E-25;1.26E-31;3.10E-06;1.58E-06;5.45E-12;4.83E-15;3.23E-17;7.54E-292;4.47E-32;2.52E-28;1.58E-06;6.98E-07;1.60E-12;9.95E-14;2.09E-28;9.38E-174;9.95E-34;1.03E-43;6.98E-07
31.54092;99.36116;100.31858;99.40409;-0.0019583;-0.015488371;-0.014325957;3.22E-06;3.39E-11;1.21E-12;4.26E-08;2.64E-269;2.29E-25;1.53E-31;3.27E-06;1.67E-06;5.99E-12;5.44E-15;3.64E-17;5.09E-291;5.41E-32;2.95E-28;1.67E-06;7.36E-07;1.76E-12;1.10E-13;2.53E-28;2.71E-173;1.20E-33;1.31E-43;7.36E-07
32.49583;99.3743;100.33337;99.41777;-0.003665229;0.006115696;-0.002377162;3.40E-06;3.73E-11;1.35E-12;4.51E-08;1.78E-268;2.69E-25;1.85E-31;3.44E-06;1.76E-06;6.59E-12;6.13E-15;4.10E-17;3.44E-290;6.55E-32;3.46E-28;1.76E-06;7.76E-07;1.93E-12;1.22E-13;3.06E-28;7.83E-173;1.46E-33;1.66E-43;7.76E-07
33.45075;99.36339;100.32753;99.42004;0.006230954;-0.001507996;-0.009058445;3.58E-06;4.10E-11;1.50E-12;4.77E-08;1.20E-267;3.15E-25;2.23E-31;3.63E-06;1.86E-06;7.25E-12;6.91E-15;4.62E-17;2.32E-289;7.93E-32;4.06E-28;1.86E-06;8.19E-07;2.13E-12;1.35E-13;3.70E-28;2.26E-172;1.77E-33;2.11E-43;8.19E-07
34.40566;99.36799;100.32897;99.42869;-0.00075399;-0.010618691;-0.012608386;3.78E-06;4.51E-11;1.66E-12;5.04E-08;8.13E-267;3.70E-25;2.71E-31;3.83E-06;1.96E-06;7.98E-12;7.78E-15;5.21E-17;1.57E-288;9.60E-32;4.76E-28;1.96E-06;8.63E-07;2.34E-12;1.49E-13;4.48E-28;6.54E-172;2.14E-33;2.68E-43;8.63E-07
35.36058;99.35781;100.33911;99.44073;-0.007896032;0.005131374;-0.017090616;3.99E-06;4.96E-11;1.85E-12;5.33E-08;5.49E-266;4.34E-25;3.27E-31;4.04E-06;2.06E-06;8.78E-12;8.77E-15;5.87E-17;1.06E-287;1.16E-31;5.58E-28;2.06E-06;9.10E-07;2.58E-12;1.65E-13;5.42E-28;1.89E-171;2.59E-33;3.40E-43;9.10E-07
36.31549;99.35292;100.33421;99.45705;-0.002930681;-0.00271263;-0.00864925;4.20E-06;5.46E-11;2.06E-12;5.64E-08;3.70E-265;5.08E-25;3.96E-31;4.26E-06;2.18E-06;9.66E-12;9.88E-15;6.61E-17;7.14E-287;1.41E-31;6.54E-28;2.18E-06;9.60E-07;2.83E-12;1.82E-13;6.56E-28;5.46E-171;3.13E-33;4.32E-43;9.60E-07
37.27041;99.36426;100.34506;99.46373;-0.002316488;-0.001822711;-0.006343252;4.43E-06;6.01E-11;2.29E-12;5.97E-08;2.50E-264;5.96E-25;4.80E-31;4.49E-06;2.30E-06;1.06E-11;1.11E-14;7.45E-17;4.82E-286;1.70E-31;7.67E-28;2.30E-06;1.01E-06;3.12E-12;2.01E-13;7.94E-28;1.58E-170;3.79E-33;5.48E-43;1.01E-06
38.22532;99.37062;100.34691;99.45875;-0.001943379;-0.002562215;-0.005401206;4.67E-06;6.61E-11;2.54E-12;6.31E-08;1.69E-263;6.99E-25;5.81E-31;4.74E-06;2.42E-06;1.17E-11;1.25E-14;8.39E-17;3.26E-285;2.06E-31;8.99E-28;2.42E-06;1.07E-06;3.43E-12;2.22E-13;9.62E-28;4.56E-170;4.59E-33;6.96E-43;1.07E-06
39.18024;99.36528;100.35103;99.45687;-0.002444793;-0.001909068;-0.002241764;4.93E-06;7.27E-11;2.83E-12;6.68E-08;1.14E-262;8.19E-25;7.03E-31;4.99E-06;2.55E-06;1.29E-11;1.41E-14;9.46E-17;2.20E-284;2.49E-31;1.05E-27;2.55E-06;1.13E-06;3.77E-12;2.46E-13;1.16E-27;1.32E-169;5.55E-33;8.84E-43;1.13E-06
40.13515;99.36117;100.34971;99.46597;-0.00160716;-0.001080164;-0.001372001;5.20E-06;8.00E-11;3.15E-12;7.06E-08;7.70E-262;9.61E-25;8.51E-31;5.27E-06;2.69E-06;1.42E-11;1.59E-14;1.07E-16;1.48E-283;3.02E-31;1.24E-27;2.69E-06;1.19E-06;4.15E-12;2.72E-13;1.41E-27;3.80E-169;6.72E-33;1.12E-42;1.19E-06
41.09007;99.36059;100.34619;99.47914;0.000130203;-0.000598294;-0.000515036;5.48E-06;8.80E-11;3.50E-12;7.47E-08;5.20E-261;1.13E-24;1.03E-30;5.55E-06;2.84E-06;1.56E-11;1.79E-14;1.20E-16;1.00E-282;3.65E-31;1.45E-27;2.84E-06;1.25E-06;4.57E-12;3.01E-13;1.71E-27;1.10E-168;8.13E-33;1.42E-42;1.25E-06
42.04498;99.35907;100.34752;99.48016;-0.000690215;0.000642976;-0.002500875;5.78E-06;9.68E-11;3.89E-12;7.90E-08;3.51E-260;1.32E-24;1.25E-30;5.86E-06;2.99E-06;1.71E-11;2.02E-14;1.35E-16;6.77E-282;4.42E-31;1.70E-27;2.99E-06;1.32E-06;5.03E-12;3.32E-13;2.06E-27;3.18E-168;9.85E-33;1.81E-42;1.32E-06
42.9999;99.35701;100.35159;99.47056;-0.000218738;-0.000566073;-0.003295446;6.09E-06;1.07E-10;4.32E-12;8.36E-08;2.37E-259;1.55E-24;1.51E-30;6.18E-06;3.16E-06;1.88E-11;2.28E-14;1.52E-16;4.57E-281;5.35E-31;1.99E-27;3.16E-06;1.39E-06;5.53E-12;3.68E-13;2.50E-27;9.18E-168;1.19E-32;2.30E-42;1.39E-06
43.95481;99.36507;100.35106;99.4704;-0.003541341;-0.002930578;-0.001671753;6.42E-06;1.17E-10;4.81E-12;8.84E-08;1.60E-258;1.82E-24;1.83E-30;6.51E-06;3.33E-06;2.07E-11;2.57E-14;1.72E-16;3.09E-280;6.48E-31;2.34E-27;3.33E-06;1.47E-06;6.08E-12;4.07E-13;3.02E-27;2.65E-167;1.44E-32;2.91E-42;1.47E-06
44.90973;99.36254;100.35604;99.47091;-0.003795905;-0.00326518;8.84E-05;6.77E-06;1.29E-10;5.35E-12;9.35E-08;1.08E-257;2.13E-24;2.21E-30;6.87E-06;3.51E-06;2.28E-11;2.89E-14;1.94E-16;2.08E-279;7.84E-31;2.74E-27;3.51E-06;1.55E-06;6.69E-12;4.49E-13;3.66E-27;7.66E-167;1.75E-32;3.70E-42;1.55E-06
45.86464;99.36379;100.35254;99.48116;-0.004903538;-0.003106199;-0.000671412;7.14E-06;1.42E-10;5.95E-12;9.89E-08;7.29E-257;2.50E-24;2.68E-30;7.24E-06;3.70E-06;2.51E-11;3.26E-14;2.18E-16;1.41E-278;9.49E-31;3.21E-27;3.70E-06;1.63E-06;7.36E-12;4.97E-13;4.43E-27;2.21E-166;2.11E-32;4.70E-42;1.63E-06
