temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
31.63192,99.99894,100.07588,99.96317,0.000189379,0.025730575,-0.006491155,1.06E-07,1.48E-13,1.79E-05,2.16E-193,1.15E-36,6.83E-23,1.80E-05,3.33E-08,5.14E-20,3.00E-05,3.21E-201,1.96E-38,1.69E-27,3.00E-05,2.16E-08,8.19E-16,1.12E-06,4.32E-201,1.72E-53,3.65E-34,1.14E-06
32.58683,99.99902,100.04476,99.9709,0.000388444,0.018103235,-0.006299479,1.14E-07,1.68E-13,1.86E-05,8.47E-193,1.46E-36,7.82E-23,1.87E-05,3.62E-08,6.22E-20,3.10E-05,1.26E-200,2.49E-38,1.98E-27,3.11E-05,2.34E-08,9.39E-16,1.17E-06,1.53E-200,2.37E-53,4.41E-34,1.19E-06
33.54175,100.00064,100.03758,99.9765,-0.000336217,0.010391759,-0.005947712,1.24E-07,1.91E-13,1.93E-05,3.31E-192,1.86E-36,8.97E-23,1.94E-05,3.93E-08,7.53E-20,3.21E-05,4.91E-200,3.16E-38,2.32E-27,3.21E-05,2.53E-08,1.08E-15,1.22E-06,5.45E-200,3.26E-53,5.34E-34,1.25E-06
34.49666,100.0006,100.03165,99.98113,-0.000609271,0.003258976,-0.005929749,1.34E-07,2.17E-13,2.00E-05,1.30E-191,2.36E-36,1.03E-22,2.01E-05,4.27E-08,9.11E-20,3.32E-05,1.92E-199,4.01E-38,2.72E-27,3.33E-05,2.74E-08,1.23E-15,1.28E-06,1.94E-199,4.48E-53,6.47E-34,1.30E-06
35.45158,99.99498,100.03084,99.97782,0.000290747,-0.001729665,-0.005376061,1.45E-07,2.46E-13,2.08E-05,5.07E-191,2.99E-36,1.18E-22,2.09E-05,4.64E-08,1.10E-19,3.44E-05,7.52E-199,5.09E-38,3.19E-27,3.44E-05,2.97E-08,1.41E-15,1.33E-06,6.88E-199,6.16E-53,7.83E-34,1.36E-06
36.40649,99.99931,100.04517,99.99157,0.001472276,-0.004010909,-0.003729819,1.57E-07,2.80E-13,2.16E-05,1.98E-190,3.80E-36,1.35E-22,2.17E-05,5.04E-08,1.33E-19,3.56E-05,2.94E-198,6.47E-38,3.74E-27,3.56E-05,3.21E-08,1.62E-15,1.39E-06,2.44E-198,8.47E-53,9.48E-34,1.42E-06
37.36141,99.99758,100.0493,99.99625,0.001757532,-0.003167997,-0.002698396,1.70E-07,3.18E-13,2.24E-05,7.76E-190,4.83E-36,1.55E-22,2.25E-05,5.48E-08,1.62E-19,3.68E-05,1.15E-197,8.21E-38,4.38E-27,3.69E-05,3.48E-08,1.86E-15,1.45E-06,8.68E-198,1.16E-52,1.15E-33,1.49E-06
38.31632,100.00253,100.04621,99.99793,0.001659478,-0.001571248,-0.002060685,1.85E-07,3.61E-13,2.32E-05,3.04E-189,6.13E-36,1.77E-22,2.34E-05,5.95E-08,1.96E-19,3.81E-05,4.51E-197,1.04E-37,5.14E-27,3.81E-05,3.77E-08,2.13E-15,1.52E-06,3.08E-197,1.60E-52,1.39E-33,1.56E-06
39.27124,99.99177,100.04835,100.00142,0.001567203,-0.000499185,-0.000664218,2.00E-07,4.10E-13,2.41E-05,1.19E-188,7.78E-36,2.03E-22,2.43E-05,6.47E-08,2.37E-19,3.94E-05,1.76E-196,1.32E-37,6.02E-27,3.95E-05,4.08E-08,2.44E-15,1.58E-06,1.10E-196,2.20E-52,1.68E-33,1.63E-06
40.22615,99.98793,100.03829,99.99171,0.001331061,0.002414206,0.00185953,2.16E-07,4.65E-13,2.50E-05,4.65E-188,9.88E-36,2.33E-22,2.53E-05,7.03E-08,2.87E-19,4.08E-05,6.90E-196,1.68E-37,7.06E-27,4.08E-05,4.42E-08,2.80E-15,1.66E-06,3.89E-196,3.02E-52,2.03E-33,1.70E-06
