temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
30.661,100,100,100,0,0,0,9.07E-07,9.17E-31,4.31E-06,6.26E-180,2.59E-50,4.28E-39,5.22E-06,3.85E-06,2.27E-11,1.99E-08,2.39E-146,5.92E-51,7.43E-32,3.87E-06,1.65E-07,5.15E-15,1.49E-10,1.33E-174,2.17E-54,1.06E-41,1.65E-07
31.61591,99.65838,100.38947,99.61572,-0.00226197,-0.004251665,-0.005613036,9.59E-07,1.20E-30,4.48E-06,2.07E-179,3.56E-50,5.44E-39,5.44E-06,4.04E-06,2.50E-11,2.10E-08,6.22E-146,8.14E-51,8.99E-32,4.06E-06,1.75E-07,5.80E-15,1.60E-10,3.85E-174,2.98E-54,1.34E-41,1.75E-07
32.57083,99.66054,100.39353,99.62108,-0.010765412,0.008974668,-0.005801594,1.01E-06,1.58E-30,4.65E-06,6.81E-179,4.90E-50,6.90E-39,5.67E-06,4.25E-06,2.75E-11,2.22E-08,1.62E-145,1.12E-50,1.09E-31,4.27E-06,1.86E-07,6.54E-15,1.71E-10,1.11E-173,4.09E-54,1.71E-41,1.86E-07
33.52574,99.67082,100.38496,99.62662,-0.000240858,-0.010796716,-0.005822477,1.07E-06,2.08E-30,4.83E-06,2.25E-178,6.74E-50,8.77E-39,5.91E-06,4.47E-06,3.03E-11,2.35E-08,4.20E-145,1.54E-50,1.32E-31,4.49E-06,1.97E-07,7.37E-15,1.83E-10,3.22E-173,5.63E-54,2.17E-41,1.97E-07
34.48066,99.67105,100.39527,99.63218,-0.003571017,0.002230577,-0.007100146,1.13E-06,2.73E-30,5.02E-06,7.42E-178,9.26E-50,1.11E-38,6.16E-06,4.70E-06,3.33E-11,2.49E-08,1.09E-144,2.12E-50,1.60E-31,4.73E-06,2.09E-07,8.30E-15,1.96E-10,9.30E-173,7.74E-54,2.75E-41,2.09E-07
35.43557,99.67446,100.39314,99.63896,-0.011728731,0.00211536,-0.011445985,1.20E-06,3.59E-30,5.22E-06,2.45E-177,1.27E-49,1.41E-38,6.42E-06,4.94E-06,3.67E-11,2.63E-08,2.83E-144,2.91E-50,1.93E-31,4.97E-06,2.22E-07,9.36E-15,2.10E-10,2.69E-172,1.06E-53,3.49E-41,2.22E-07
36.39049,99.68566,100.39112,99.64989,-0.00344831,-0.003806889,-0.005520346,1.27E-06,4.71E-30,5.42E-06,8.07E-177,1.75E-49,1.79E-38,6.69E-06,5.20E-06,4.03E-11,2.79E-08,7.36E-144,4.00E-50,2.34E-31,5.23E-06,2.36E-07,1.05E-14,2.25E-10,7.76E-172,1.46E-53,4.43E-41,2.36E-07
37.3454,99.68565,100.40139,99.64367,-0.001950585,-0.001254705,-0.003732176,1.34E-06,6.19E-30,5.63E-06,2.66E-176,2.41E-49,2.28E-38,6.97E-06,5.47E-06,4.44E-11,2.95E-08,1.91E-143,5.50E-50,2.83E-31,5.50E-06,2.50E-07,1.19E-14,2.40E-10,2.24E-171,2.01E-53,5.63E-41,2.51E-07
38.30032,99.69633,100.40653,99.64947,-0.00237745,-0.002374201,-0.00215813,1.42E-06,8.13E-30,5.85E-06,8.79E-176,3.31E-49,2.89E-38,7.27E-06,5.75E-06,4.88E-11,3.12E-08,4.97E-143,7.56E-50,3.42E-31,5.78E-06,2.66E-07,1.34E-14,2.57E-10,6.48E-171,2.76E-53,7.15E-41,2.66E-07
39.25523,99.69003,100.41629,99.65626,-0.003575234,-4.57155E-05,-0.001307624,1.50E-06,1.07E-29,6.08E-06,2.90E-175,4.55E-49,3.67E-38,7.58E-06,6.04E-06,5.37E-11,3.30E-08,1.29E-142,1.04E-49,4.14E-31,6.08E-06,2.82E-07,1.51E-14,2.76E-10,1.87E-170,3.80E-53,9.08E-41,2.82E-07
